,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,439,405,523,593,301,796,521,443,455,398,706,639,139,336,14,425,253,112,542
v2,439,0,34,500,154,324,357,82,208,68,375,267,200,462,295,429,100,186,365,221
v3,405,34,0,496,188,328,391,116,212,64,371,301,234,428,299,395,96,152,331,225
v4,523,500,496,0,540,824,463,572,708,432,125,425,554,384,795,537,400,460,635,721
v5,593,154,188,540,0,326,203,72,168,138,415,115,46,616,257,583,168,340,519,181
v6,301,324,328,824,326,0,529,254,176,392,699,439,372,440,69,287,424,364,193,275
v7,796,357,391,463,203,529,0,275,353,341,464,90,183,819,460,786,371,543,722,350
v8,521,82,116,572,72,254,275,0,136,140,447,185,118,544,223,511,172,268,447,149
v9,443,208,212,708,168,176,353,136,0,276,583,283,196,466,107,433,308,248,369,99
v10,455,68,64,432,138,392,341,140,276,0,307,251,184,478,363,445,32,202,381,289
v11,398,375,371,125,415,699,464,447,583,307,0,374,429,355,670,412,275,335,510,596
v12,706,267,301,425,115,439,90,185,283,251,374,0,129,729,370,696,281,453,632,296
v13,639,200,234,554,46,372,183,118,196,184,429,129,0,662,303,629,214,386,565,167
v14,139,462,428,384,616,440,819,544,466,478,355,729,662,0,411,153,448,276,251,565
v15,336,295,299,795,257,69,460,223,107,363,670,370,303,411,0,326,395,335,262,206
v16,14,429,395,537,583,287,786,511,433,445,412,696,629,153,326,0,415,243,98,532
v17,425,100,96,400,168,424,371,172,308,32,275,281,214,448,395,415,0,172,351,321
v18,253,186,152,460,340,364,543,268,248,202,335,453,386,276,335,243,172,0,179,289
v19,112,365,331,635,519,193,722,447,369,381,510,632,565,251,262,98,351,179,0,468
v20,542,221,225,721,181,275,350,149,99,289,596,296,167,565,206,532,321,289,468,0
