,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,504,457,479,338,496,86,499,455,195,433,521,229,316,349,427,230,502,328,404
v2,504,0,183,507,842,288,486,101,379,637,591,615,517,284,313,143,614,172,572,298
v3,457,183,0,460,795,253,439,82,332,590,544,568,334,141,130,184,567,45,525,251
v4,479,507,460,0,335,219,393,502,128,284,84,108,570,337,366,364,249,505,151,209
v5,338,842,795,335,0,554,356,837,463,205,251,227,567,654,687,699,228,840,270,544
v6,496,288,253,219,554,0,410,283,91,349,303,327,587,354,383,145,326,286,284,92
v7,86,486,439,393,356,410,0,481,369,151,347,435,211,298,331,343,144,484,242,318
v8,499,101,82,502,837,283,481,0,374,632,586,610,416,183,212,138,609,71,567,293
v9,455,379,332,128,463,91,369,374,0,260,212,236,546,313,342,236,235,377,193,81
v10,195,637,590,284,205,349,151,632,260,0,238,326,362,449,482,494,35,635,133,339
v11,433,591,544,84,251,303,347,586,212,238,0,88,524,403,436,448,203,589,105,293
v12,521,615,568,108,227,327,435,610,236,326,88,0,612,427,460,472,291,613,193,317
v13,229,517,334,570,567,587,211,416,546,362,524,612,0,233,204,518,339,345,419,495
v14,316,284,141,337,654,354,298,183,313,449,403,427,233,0,33,285,426,186,384,262
v15,349,313,130,366,687,383,331,212,342,482,436,460,204,33,0,314,459,153,417,291
v16,427,143,184,364,699,145,343,138,236,494,448,472,518,285,314,0,471,173,429,155
v17,230,614,567,249,228,326,144,609,235,35,203,291,339,426,459,471,0,612,98,316
v18,502,172,45,505,840,286,484,71,377,635,589,613,345,186,153,173,612,0,570,296
v19,328,572,525,151,270,284,242,567,193,133,105,193,419,384,417,429,98,570,0,274
v20,404,298,251,209,544,92,318,293,81,339,293,317,495,262,291,155,316,296,274,0
