,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,371,355,236,308,216,367,199,270,531,614,203,488,156,331,333,286,102,286,594
v2,371,0,64,271,257,323,28,376,447,160,243,380,117,399,100,196,407,325,85,223
v3,355,64,0,335,321,387,36,440,511,176,271,444,133,397,164,260,471,343,101,239
v4,236,271,335,0,72,52,299,105,176,295,378,109,362,264,171,97,136,190,234,358
v5,308,257,321,72,0,92,285,119,190,223,306,153,348,336,157,61,150,262,220,286
v6,216,323,387,52,92,0,351,53,124,315,398,61,414,244,223,127,84,170,286,378
v7,367,28,36,299,285,351,0,404,475,164,247,408,121,395,128,224,435,321,81,227
v8,199,376,440,105,119,53,404,0,71,336,417,42,467,225,276,180,89,151,339,397
v9,270,447,511,176,190,124,475,71,0,407,470,67,538,172,347,251,142,168,410,450
v10,531,160,176,295,223,315,164,336,407,0,167,376,131,559,200,198,367,485,245,63
v11,614,243,271,378,306,398,247,417,470,167,0,459,298,642,283,281,328,568,328,122
v12,203,380,444,109,153,61,408,42,67,376,459,0,471,183,280,184,131,109,343,439
v13,488,117,133,362,348,414,121,467,538,131,298,471,0,516,191,287,498,442,202,176
v14,156,399,397,264,336,244,395,225,172,559,642,183,516,0,359,361,314,74,314,622
v15,331,100,164,171,157,223,128,276,347,200,283,280,191,359,0,96,307,285,63,263
v16,333,196,260,97,61,127,224,180,251,198,281,184,287,361,96,0,211,287,159,261
v17,286,407,471,136,150,84,435,89,142,367,328,131,498,314,307,211,0,240,370,322
v18,102,325,343,190,262,170,321,151,168,485,568,109,442,74,285,287,240,0,242,548
v19,286,85,101,234,220,286,81,339,410,245,328,343,202,314,63,159,370,242,0,308
v20,594,223,239,358,286,378,227,397,450,63,122,439,176,622,263,261,322,548,308,0
