,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,141,317,465,150,502,329,437,410,366,344,119,414,708,123,460,36,420,498,87
v2,141,0,370,400,291,437,264,372,345,291,239,260,369,643,24,395,105,325,433,76
v3,317,370,0,148,245,185,154,120,93,595,573,202,97,391,352,143,301,649,203,328
v4,465,400,148,0,393,65,136,62,55,471,449,350,123,243,424,9,449,525,79,476
v5,150,291,245,393,0,430,257,365,338,516,494,43,342,636,273,388,186,570,426,237
v6,502,437,185,65,430,0,173,65,92,536,514,387,88,206,461,56,486,590,144,513
v7,329,264,154,136,257,173,0,108,81,441,419,214,153,379,288,131,313,495,169,340
v8,437,372,120,62,365,65,108,0,27,533,511,322,61,271,396,53,421,587,141,448
v9,410,345,93,55,338,92,81,27,0,512,490,295,82,298,369,50,394,566,120,421
v10,366,291,595,471,516,536,441,533,512,0,52,485,594,352,315,480,340,54,392,367
v11,344,239,573,449,494,514,419,511,490,52,0,463,572,404,263,458,308,86,370,315
v12,119,260,202,350,43,387,214,322,295,485,463,0,299,593,242,345,155,539,383,206
v13,414,369,97,123,342,88,153,61,82,594,572,299,0,294,373,114,398,648,202,425
v14,708,643,391,243,636,206,379,271,298,352,404,593,294,0,667,248,692,398,210,719
v15,123,24,352,424,273,461,288,396,369,315,263,242,373,667,0,419,87,349,457,52
v16,460,395,143,9,388,56,131,53,50,480,458,345,114,248,419,0,444,534,88,471
v17,36,105,301,449,186,486,313,421,394,340,308,155,398,692,87,444,0,384,482,51
v18,420,325,649,525,570,590,495,587,566,54,86,539,648,398,349,534,384,0,446,401
v19,498,433,203,79,426,144,169,141,120,392,370,383,202,210,457,88,482,446,0,509
v20,87,76,328,476,237,513,340,448,421,367,315,206,425,719,52,471,51,401,509,0
