,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,138,396,179,72,201,769,506,403,300,398,354,540,381,771,62,470,430,180,483
v2,138,0,258,161,132,107,631,368,265,162,260,436,402,299,633,76,388,292,42,345
v3,396,258,0,419,390,365,373,110,461,216,234,178,394,557,375,334,646,272,280,413
v4,179,161,419,0,107,224,792,529,426,323,421,533,563,318,794,155,479,453,203,506
v5,72,132,390,107,0,195,763,500,397,294,392,426,534,309,765,56,450,424,174,477
v6,201,107,365,224,195,0,568,367,202,149,197,543,339,192,570,165,281,229,85,282
v7,769,631,373,792,763,568,0,303,366,469,371,479,229,474,32,707,345,339,589,286
v8,506,368,110,529,500,367,303,0,463,218,236,176,396,559,271,444,648,274,326,415
v9,403,265,461,426,397,202,366,463,0,245,227,639,137,108,368,341,185,189,223,80
v10,300,162,216,323,294,149,469,218,245,0,98,394,240,341,471,238,430,130,120,197
v11,398,260,234,421,392,197,371,236,227,98,0,412,160,323,373,336,412,38,218,179
v12,354,436,178,533,426,543,479,176,639,394,412,0,572,735,447,378,824,450,458,591
v13,540,402,394,563,534,339,229,396,137,240,160,572,0,245,231,478,252,122,360,57
v14,381,299,557,318,309,192,474,559,108,341,323,735,245,0,476,357,161,285,277,188
v15,771,633,375,794,765,570,32,271,368,471,373,447,231,476,0,709,377,341,591,288
v16,62,76,334,155,56,165,707,444,341,238,336,378,478,357,709,0,446,368,118,421
v17,470,388,646,479,450,281,345,648,185,430,412,824,252,161,377,446,0,374,366,233
v18,430,292,272,453,424,229,339,274,189,130,38,450,122,285,341,368,374,0,250,141
v19,180,42,280,203,174,85,589,326,223,120,218,458,360,277,591,118,366,250,0,303
v20,483,345,413,506,477,282,286,415,80,197,179,591,57,188,288,421,233,141,303,0
