,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,236,136,186,14,509,274,385,246,156,398,272,355,190,340,76,354,329,134,49
v2,236,0,100,126,242,569,214,445,482,392,162,508,343,140,104,242,184,565,366,221
v3,136,100,0,70,142,625,158,501,382,292,262,408,399,196,204,192,240,465,266,165
v4,186,126,70,0,200,695,94,571,394,304,268,420,469,266,192,262,310,477,278,235
v5,14,242,142,200,0,495,288,371,240,150,404,266,361,196,346,62,360,323,148,35
v6,509,569,625,695,495,0,783,250,433,553,427,471,256,429,521,433,385,428,643,460
v7,274,214,158,94,288,783,0,659,350,230,356,326,557,354,286,350,398,383,184,323
v8,385,445,501,571,371,250,659,0,309,429,549,347,506,341,491,309,505,288,519,336
v9,246,482,382,394,240,433,350,309,0,120,644,38,601,436,586,240,600,83,210,261
v10,156,392,292,304,150,553,230,429,120,0,554,116,511,346,496,150,510,173,90,171
v11,398,162,262,268,404,427,356,549,644,554,0,670,201,208,94,404,44,727,528,383
v12,272,508,408,420,266,471,326,347,38,116,670,0,627,462,612,266,626,59,172,287
v13,355,343,399,469,361,256,557,506,601,511,201,627,0,203,295,361,159,684,485,340
v14,190,140,196,266,196,429,354,341,436,346,208,462,203,0,150,196,164,519,320,175
v15,340,104,204,192,346,521,286,491,586,496,94,612,295,150,0,346,136,669,470,325
v16,76,242,192,262,62,433,350,309,240,150,404,266,361,196,346,0,360,323,210,27
v17,354,184,240,310,360,385,398,505,600,510,44,626,159,164,136,360,0,683,484,339
v18,329,565,465,477,323,428,383,288,83,173,727,59,684,519,669,323,683,0,231,344
v19,134,366,266,278,148,643,184,519,210,90,528,172,485,320,470,210,484,231,0,183
v20,49,221,165,235,35,460,323,336,261,171,383,287,340,175,325,27,339,344,183,0
