,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,110,510,205,483,233,547,246,120,383,323,312,340,161,175,210,134,562,187,504
v2,110,0,620,237,515,265,579,278,152,493,433,422,372,271,73,242,162,594,219,536
v3,510,620,0,385,463,689,509,346,600,127,187,198,566,349,685,480,458,488,681,424
v4,205,237,385,0,278,304,342,41,215,258,198,187,181,74,300,95,339,357,296,299
v5,483,515,463,278,0,250,64,237,363,336,276,393,143,352,442,273,617,79,296,39
v6,233,265,689,304,250,0,314,343,113,562,502,491,123,340,192,209,367,329,46,271
v7,547,579,509,342,64,314,0,301,427,382,322,457,207,416,506,337,681,21,360,85
v8,246,278,346,41,237,343,301,0,254,219,159,156,220,115,339,134,380,316,335,258
v9,120,152,600,215,363,113,427,254,0,473,413,402,220,251,85,120,254,442,81,384
v10,383,493,127,258,336,562,382,219,473,0,70,213,439,222,558,353,437,361,554,297
v11,323,433,187,198,276,502,322,159,413,70,0,143,379,162,498,293,367,329,494,271
v12,312,422,198,187,393,491,457,156,402,213,143,0,368,151,487,282,260,472,483,414
v13,340,372,566,181,143,123,207,220,220,439,379,368,0,217,299,130,474,222,153,164
v14,161,271,349,74,352,340,416,115,251,222,162,151,217,0,336,131,265,431,332,373
v15,175,73,685,300,442,192,506,339,85,558,498,487,299,336,0,205,227,521,146,463
v16,210,242,480,95,273,209,337,134,120,353,293,282,130,131,205,0,344,352,201,294
v17,134,162,458,339,617,367,681,380,254,437,367,260,474,265,227,344,0,696,321,638
v18,562,594,488,357,79,329,21,316,442,361,329,472,222,431,521,352,696,0,375,64
v19,187,219,681,296,296,46,360,335,81,554,494,483,153,332,146,201,321,375,0,317
v20,504,536,424,299,39,271,85,258,384,297,271,414,164,373,463,294,638,64,317,0
