,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,516,111,208,580,372,123,79,188,150,189,530,85,495,34,332,565,271,403,531
v2,516,0,405,438,202,334,533,595,328,366,327,138,431,63,540,252,49,245,263,199
v3,111,405,0,267,469,431,128,190,125,187,78,419,26,384,135,221,454,160,292,420
v4,208,438,267,0,502,164,331,255,392,80,235,452,247,417,174,422,487,293,433,453
v5,580,202,469,502,0,384,597,659,424,430,391,340,495,139,604,454,215,325,465,49
v6,372,334,431,164,384,0,495,419,556,244,399,472,411,299,338,586,369,457,597,335
v7,123,533,128,331,597,495,0,76,205,251,206,547,102,512,157,349,582,288,420,548
v8,79,595,190,255,659,419,76,0,267,229,268,609,164,574,81,411,644,350,482,610
v9,188,328,125,392,424,556,205,267,0,312,157,342,145,307,218,144,377,99,215,421
v10,150,366,187,80,430,244,251,229,312,0,155,380,167,345,174,342,415,213,353,381
v11,189,327,78,235,391,399,206,268,157,155,0,341,104,306,213,187,376,82,214,342
v12,530,138,419,452,340,472,547,609,342,380,341,0,445,201,554,198,125,259,127,337
v13,85,431,26,247,495,411,102,164,145,167,104,445,0,410,109,247,480,186,318,446
v14,495,63,384,417,139,299,512,574,307,345,306,201,410,0,519,315,76,224,326,136
v15,34,540,135,174,604,338,157,81,218,174,213,554,109,519,0,356,589,295,427,555
v16,332,252,221,422,454,586,349,411,144,342,187,198,247,315,356,0,239,129,71,451
v17,565,49,454,487,215,369,582,644,377,415,376,125,480,76,589,239,0,294,250,212
v18,271,245,160,293,325,457,288,350,99,213,82,259,186,224,295,129,294,0,140,322
v19,403,263,292,433,465,597,420,482,215,353,214,127,318,326,427,71,250,140,0,462
v20,531,199,420,453,49,335,548,610,421,381,342,337,446,136,555,451,212,322,462,0
