,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,69,350,88,240,301,474,114,246,353,89,303,446,67,407,156,478,302,302,82
v2,69,0,285,81,247,232,405,121,239,360,96,372,377,60,338,87,485,309,309,99
v3,350,285,0,366,460,101,124,330,524,467,351,653,192,345,57,304,278,84,486,380
v4,88,81,366,0,328,265,418,202,158,441,177,359,390,27,361,100,566,390,390,170
v5,240,247,460,328,0,411,584,130,486,113,151,193,556,307,517,266,238,376,62,158
v6,301,232,101,265,411,0,173,281,423,418,302,604,145,272,106,203,301,125,437,331
v7,474,405,124,418,584,173,0,454,460,591,475,777,128,445,67,318,402,208,610,504
v8,114,121,330,202,130,281,454,0,360,239,25,323,426,181,387,140,364,246,188,50
v9,246,239,524,158,486,423,460,360,0,599,335,477,418,179,519,220,724,548,548,328
v10,353,360,467,441,113,418,591,239,599,0,264,186,563,420,524,379,189,383,51,271
v11,89,96,351,177,151,302,475,25,335,264,0,302,447,156,408,157,389,267,213,29
v12,303,372,653,359,193,604,777,323,477,186,302,0,749,332,710,459,375,569,167,273
v13,446,377,192,390,556,145,128,426,418,563,447,749,0,417,187,290,392,216,582,476
v14,67,60,345,27,307,272,445,181,179,420,156,332,417,0,378,127,545,369,369,149
v15,407,338,57,361,517,106,67,387,519,524,408,710,187,378,0,299,335,141,543,437
v16,156,87,304,100,266,203,318,140,220,379,157,459,290,127,299,0,504,328,328,186
v17,478,485,278,566,238,301,402,364,724,189,389,375,392,545,335,504,0,194,208,396
v18,302,309,84,390,376,125,208,246,548,383,267,569,216,369,141,328,194,0,402,296
v19,302,309,486,390,62,437,610,188,548,51,213,167,582,369,543,328,208,402,0,220
v20,82,99,380,170,158,331,504,50,328,271,29,273,476,149,437,186,396,296,220,0
