,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,5,3,5,3,6,2,3,6,4,8,4,4,3,4,5,7,1,5,8
v2,5,0,2,8,4,1,5,6,11,7,11,3,1,6,7,8,2,4,4,11
v3,3,2,0,8,4,3,5,6,9,7,11,3,1,4,7,8,4,2,2,11
v4,5,8,8,0,4,7,3,4,5,3,3,5,7,8,1,2,8,6,10,3
v5,3,4,4,4,0,3,3,2,9,3,7,1,3,4,5,4,4,2,6,7
v6,6,1,3,7,3,0,6,5,12,6,10,2,2,7,8,7,1,5,5,10
v7,2,5,5,3,3,6,0,3,6,2,6,4,4,5,2,3,7,3,7,6
v8,3,6,6,4,2,5,3,0,9,1,5,3,5,6,5,2,4,4,8,5
v9,6,11,9,5,9,12,6,9,0,8,8,10,10,7,4,7,13,7,9,6
v10,4,7,7,3,3,6,2,1,8,0,4,4,6,7,4,1,5,5,9,4
v11,8,11,11,3,7,10,6,5,8,4,0,8,10,11,4,3,9,9,13,2
v12,4,3,3,5,1,2,4,3,10,4,8,0,2,5,6,5,3,3,5,8
v13,4,1,1,7,3,2,4,5,10,6,10,2,0,5,6,7,3,3,3,10
v14,3,6,4,8,4,7,5,6,7,7,11,5,5,0,7,8,8,2,2,11
v15,4,7,7,1,5,8,2,5,4,4,4,6,6,7,0,3,9,5,9,4
v16,5,8,8,2,4,7,3,2,7,1,3,5,7,8,3,0,6,6,10,3
v17,7,2,4,8,4,1,7,4,13,5,9,3,3,8,9,6,0,6,6,9
v18,1,4,2,6,2,5,3,4,7,5,9,3,3,2,5,6,6,0,4,9
v19,5,4,2,10,6,5,7,8,9,9,13,5,3,2,9,10,6,4,0,13
v20,8,11,11,3,7,10,6,5,6,4,2,8,10,11,4,3,9,9,13,0
