,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,3,11,5,9,6,13,5,8,10,11,8,11,12,2,6,6,11,7,8
v2,3,0,10,4,12,5,12,8,7,9,10,7,10,11,1,5,5,10,6,7
v3,11,10,0,6,6,7,4,8,9,1,2,3,8,7,11,5,9,2,8,3
v4,5,4,6,0,8,5,8,4,7,5,6,3,6,7,5,1,7,6,6,3
v5,9,12,6,8,0,13,10,4,15,7,4,9,14,13,11,9,15,8,14,5
v6,6,5,7,5,13,0,7,9,2,6,9,4,5,6,6,4,2,5,1,8
v7,13,12,4,8,10,7,0,10,5,3,6,5,4,3,13,7,7,2,6,5
v8,5,8,8,4,4,9,10,0,11,7,8,5,10,9,7,5,11,8,10,5
v9,8,7,9,7,15,2,5,11,0,8,11,6,3,4,8,6,2,7,1,10
v10,10,9,1,5,7,6,3,7,8,0,3,2,7,6,10,4,8,1,7,2
v11,11,10,2,6,4,9,6,8,11,3,0,5,10,9,11,5,11,4,10,3
v12,8,7,3,3,9,4,5,5,6,2,5,0,5,4,8,2,6,3,5,4
v13,11,10,8,6,14,5,4,10,3,7,10,5,0,1,11,5,5,6,4,9
v14,12,11,7,7,13,6,3,9,4,6,9,4,1,0,12,6,6,5,5,8
v15,2,1,11,5,11,6,13,7,8,10,11,8,11,12,0,6,6,11,7,8
v16,6,5,5,1,9,4,7,5,6,4,5,2,5,6,6,0,6,5,5,4
v17,6,5,9,7,15,2,7,11,2,8,11,6,5,6,6,6,0,7,1,10
v18,11,10,2,6,8,5,2,8,7,1,4,3,6,5,11,5,7,0,6,3
v19,7,6,8,6,14,1,6,10,1,7,10,5,4,5,7,5,1,6,0,9
v20,8,7,3,3,5,8,5,5,10,2,3,4,9,8,8,4,10,3,9,0
