,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,5,3,4,3,6,6,8,6,2,6,9,4,4,3,8,4,9,8,7
v2,5,0,4,5,4,11,11,13,5,5,7,8,3,7,4,7,5,8,9,6
v3,3,4,0,1,6,7,7,9,9,5,3,12,7,3,2,11,1,12,11,10
v4,4,5,1,0,7,8,8,10,10,6,2,13,8,4,1,12,2,13,12,11
v5,3,4,6,7,0,7,7,9,3,1,9,6,3,7,6,5,7,6,5,4
v6,6,11,7,8,7,0,2,2,6,6,8,9,10,6,9,10,6,7,6,11
v7,6,11,7,8,7,2,0,2,6,6,10,9,10,8,9,10,8,5,4,11
v8,8,13,9,10,9,2,2,0,8,8,8,11,12,6,11,12,8,7,6,13
v9,6,5,9,10,3,6,6,8,0,4,12,3,4,10,9,4,10,3,4,5
v10,2,5,5,6,1,6,6,8,4,0,8,7,4,6,5,6,6,7,6,5
v11,6,7,3,2,9,8,10,8,12,8,0,15,10,2,3,14,2,15,14,13
v12,9,8,12,13,6,9,9,11,3,7,15,0,5,13,12,1,13,4,7,2
v13,4,3,7,8,3,10,10,12,4,4,10,5,0,8,7,4,8,5,8,3
v14,4,7,3,4,7,6,8,6,10,6,2,13,8,0,5,12,2,13,12,11
v15,3,4,2,1,6,9,9,11,9,5,3,12,7,5,0,11,3,12,11,10
v16,8,7,11,12,5,10,10,12,4,6,14,1,4,12,11,0,12,5,8,1
v17,4,5,1,2,7,6,8,8,10,6,2,13,8,2,3,12,0,13,12,11
v18,9,8,12,13,6,7,5,7,3,7,15,4,5,13,12,5,13,0,3,6
v19,8,9,11,12,5,6,4,6,4,6,14,7,8,12,11,8,12,3,0,9
v20,7,6,10,11,4,11,11,13,5,5,13,2,3,11,10,1,11,6,9,0
