,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,7,4,3,1,8,3,7,4,6,5,5,6,7,7,5,5,2,1,2
v2,7,0,5,4,6,15,8,14,5,3,8,8,7,14,12,2,6,9,8,5
v3,4,5,0,5,5,10,3,9,6,4,3,9,2,9,7,3,1,6,5,2
v4,3,4,5,0,2,11,4,10,1,3,6,4,7,10,8,6,6,5,4,3
v5,1,6,5,2,0,9,4,8,3,5,6,4,7,8,8,6,6,3,2,3
v6,8,15,10,11,9,0,7,3,12,14,7,9,8,1,7,13,9,6,7,10
v7,3,8,3,4,4,7,0,6,5,7,2,8,3,6,4,6,2,5,4,3
v8,7,14,9,10,8,3,6,0,11,13,6,8,7,2,4,12,8,5,6,9
v9,4,5,6,1,3,12,5,11,0,2,7,3,8,11,9,7,7,6,5,4
v10,6,3,4,3,5,14,7,13,2,0,7,5,6,13,11,5,5,8,7,4
v11,5,8,3,6,6,7,2,6,7,7,0,10,1,6,4,6,2,7,6,3
v12,5,8,9,4,4,9,8,8,3,5,10,0,11,8,12,10,10,3,4,7
v13,6,7,2,7,7,8,3,7,8,6,1,11,0,7,5,5,1,8,7,4
v14,7,14,9,10,8,1,6,2,11,13,6,8,7,0,6,12,8,5,6,9
v15,7,12,7,8,8,7,4,4,9,11,4,12,5,6,0,10,6,9,8,7
v16,5,2,3,6,6,13,6,12,7,5,6,10,5,12,10,0,4,7,6,3
v17,5,6,1,6,6,9,2,8,7,5,2,10,1,8,6,4,0,7,6,3
v18,2,9,6,5,3,6,5,5,6,8,7,3,8,5,9,7,7,0,1,4
v19,1,8,5,4,2,7,4,6,5,7,6,4,7,6,8,6,6,1,0,3
v20,2,5,2,3,3,10,3,9,4,4,3,7,4,9,7,3,3,4,3,0
