,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,10,4,10,8,11,6,6,3,5,3,13,5,10,5,11,6,3,10,13
v2,10,0,6,4,6,1,6,8,7,5,7,5,5,10,7,7,4,11,10,3
v3,4,6,0,6,8,7,4,4,1,1,1,9,1,8,3,7,6,5,8,9
v4,10,4,6,0,10,3,6,8,7,5,7,3,5,6,7,3,8,11,6,5
v5,8,6,8,10,0,7,12,12,9,7,7,11,9,16,11,13,2,9,16,5
v6,11,1,7,3,7,0,7,9,8,6,8,4,6,9,8,6,5,12,9,2
v7,6,6,4,6,12,7,0,2,3,5,5,9,3,4,1,7,10,5,4,9
v8,6,8,4,8,12,9,2,0,3,5,5,11,3,6,1,9,10,3,4,11
v9,3,7,1,7,9,8,3,3,0,2,2,10,2,7,2,8,7,4,7,10
v10,5,5,1,5,7,6,5,5,2,0,2,8,2,9,4,6,5,6,9,8
v11,3,7,1,7,7,8,5,5,2,2,0,10,2,9,4,8,5,4,9,10
v12,13,5,9,3,11,4,9,11,10,8,10,0,8,5,10,2,9,14,7,6
v13,5,5,1,5,9,6,3,3,2,2,2,8,0,7,2,6,7,6,7,8
v14,10,10,8,6,16,9,4,6,7,9,9,5,7,0,5,3,14,9,2,11
v15,5,7,3,7,11,8,1,1,2,4,4,10,2,5,0,8,9,4,5,10
v16,11,7,7,3,13,6,7,9,8,6,8,2,6,3,8,0,11,12,5,8
v17,6,4,6,8,2,5,10,10,7,5,5,9,7,14,9,11,0,7,14,7
v18,3,11,5,11,9,12,5,3,4,6,4,14,6,9,4,12,7,0,7,14
v19,10,10,8,6,16,9,4,4,7,9,9,7,7,2,5,5,14,7,0,11
v20,13,3,9,5,5,2,9,11,10,8,10,6,8,11,10,8,7,14,11,0
