,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,6,7,9,10,11,11,6,4,10,8,8,6,7,7,1,9,7,2,4
v2,6,0,13,3,10,9,5,2,6,4,2,2,12,13,11,7,7,9,8,2
v3,7,13,0,16,5,6,8,11,11,13,15,15,1,2,2,6,6,4,5,11
v4,9,3,16,0,13,12,8,5,7,3,1,1,15,16,14,10,10,12,11,5
v5,10,10,5,13,0,1,5,8,10,10,12,12,6,3,3,9,3,3,8,8
v6,11,9,6,12,1,0,4,7,11,9,11,11,7,4,4,10,2,4,9,7
v7,11,5,8,8,5,4,0,5,11,5,7,7,7,8,6,10,2,4,9,7
v8,6,2,11,5,8,7,5,0,6,4,4,4,10,11,9,5,5,7,6,2
v9,4,6,11,7,10,11,11,6,0,10,8,6,10,11,9,5,9,7,6,4
v10,10,4,13,3,10,9,5,4,10,0,2,4,12,13,11,9,7,9,8,6
v11,8,2,15,1,12,11,7,4,8,2,0,2,14,15,13,9,9,11,10,4
v12,8,2,15,1,12,11,7,4,6,4,2,0,14,15,13,9,9,11,10,4
v13,6,12,1,15,6,7,7,10,10,12,14,14,0,3,3,5,5,3,4,10
v14,7,13,2,16,3,4,8,11,11,13,15,15,3,0,2,6,6,4,5,11
v15,7,11,2,14,3,4,6,9,9,11,13,13,3,2,0,6,4,2,5,9
v16,1,7,6,10,9,10,10,5,5,9,9,9,5,6,6,0,8,6,1,5
v17,9,7,6,10,3,2,2,5,9,7,9,9,5,6,4,8,0,2,7,5
v18,7,9,4,12,3,4,4,7,7,9,11,11,3,4,2,6,2,0,5,7
v19,2,8,5,11,8,9,9,6,6,8,10,10,4,5,5,1,7,5,0,6
v20,4,2,11,5,8,7,7,2,4,6,4,4,10,11,9,5,5,7,6,0
