,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,2,4,8,8,4,2,4,4,6,10,8,4,5,10,7,7,8,4,6
v2,2,0,2,10,8,4,4,4,6,8,12,10,2,5,10,9,9,8,6,8
v3,4,2,0,12,8,6,6,4,8,10,14,12,2,5,10,11,11,8,8,10
v4,8,10,12,0,10,6,6,8,4,2,2,4,12,7,8,5,1,6,6,2
v5,8,8,8,10,0,4,10,12,8,10,10,6,10,13,18,15,9,16,4,12
v6,4,4,6,6,4,0,6,8,4,6,8,6,6,9,14,11,5,12,2,8
v7,2,4,6,6,10,6,0,2,2,4,8,6,6,3,8,5,5,6,6,4
v8,4,4,4,8,12,8,2,0,4,6,10,8,4,1,6,7,7,4,8,6
v9,4,6,8,4,8,4,2,4,0,2,6,4,8,5,10,7,3,8,4,4
v10,6,8,10,2,10,6,4,6,2,0,4,4,10,5,8,5,1,6,6,2
v11,10,12,14,2,10,8,8,10,6,4,0,4,14,9,8,5,3,8,6,4
v12,8,10,12,4,6,6,6,8,4,4,4,0,12,7,12,9,3,10,4,6
v13,4,2,2,12,10,6,6,4,8,10,14,12,0,5,8,11,11,6,8,10
v14,5,5,5,7,13,9,3,1,5,5,9,7,5,0,5,6,6,3,9,5
v15,10,10,10,8,18,14,8,6,10,8,8,12,8,5,0,3,9,2,14,6
v16,7,9,11,5,15,11,5,7,7,5,5,9,11,6,3,0,6,5,11,3
v17,7,9,11,1,9,5,5,7,3,1,3,3,11,6,9,6,0,7,5,3
v18,8,8,8,6,16,12,6,4,8,6,8,10,6,3,2,5,7,0,12,4
v19,4,6,8,6,4,2,6,8,4,6,6,4,8,9,14,11,5,12,0,8
v20,6,8,10,2,12,8,4,6,4,2,4,6,10,5,6,3,3,4,8,0
