,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,2,3,10,6,5,4,5,10,12,12,1,3,14,8,7,2,11,11,3
v2,2,0,5,8,8,7,2,3,8,10,10,3,1,12,8,5,4,9,9,5
v3,3,5,0,11,5,2,5,6,11,13,13,4,4,15,9,8,1,12,12,4
v4,10,8,11,0,6,9,6,5,2,4,2,11,7,4,2,3,12,7,1,7
v5,6,8,5,6,0,3,6,5,6,8,8,7,7,10,4,5,6,9,7,3
v6,5,7,2,9,3,0,5,4,9,11,11,6,6,13,7,6,3,10,10,2
v7,4,2,5,6,6,5,0,1,6,8,8,5,1,10,6,3,6,7,7,3
v8,5,3,6,5,5,4,1,0,5,7,7,6,2,9,5,2,7,6,6,2
v9,10,8,11,2,6,9,6,5,0,6,4,11,7,4,2,5,12,9,3,7
v10,12,10,13,4,8,11,8,7,6,0,2,13,9,2,6,5,14,3,3,9
v11,12,10,13,2,8,11,8,7,4,2,0,13,9,2,4,5,14,5,1,9
v12,1,3,4,11,7,6,5,6,11,13,13,0,4,15,9,8,3,12,12,4
v13,3,1,4,7,7,6,1,2,7,9,9,4,0,11,7,4,5,8,8,4
v14,14,12,15,4,10,13,10,9,4,2,2,15,11,0,6,7,16,5,3,11
v15,8,8,9,2,4,7,6,5,2,6,4,9,7,6,0,5,10,9,3,5
v16,7,5,8,3,5,6,3,2,5,5,5,8,4,7,5,0,9,4,4,4
v17,2,4,1,12,6,3,6,7,12,14,14,3,5,16,10,9,0,13,13,5
v18,11,9,12,7,9,10,7,6,9,3,5,12,8,5,9,4,13,0,6,8
v19,11,9,12,1,7,10,7,6,3,3,1,12,8,3,3,4,13,6,0,8
v20,3,5,4,7,3,2,3,2,7,9,9,4,4,11,5,4,5,8,8,0
