,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,4,4,4,3,11,2,5,1,9,3,5,8,9,10,9,5,11,12,6
v2,4,0,8,8,7,15,2,7,3,7,7,9,6,9,14,13,7,9,16,10
v3,4,8,0,8,1,7,6,1,5,5,5,7,6,5,6,5,9,7,8,2
v4,4,8,8,0,7,9,6,9,5,13,3,1,12,13,8,11,1,15,8,8
v5,3,7,1,7,0,8,5,2,4,6,4,6,5,6,7,6,8,8,9,3
v6,11,15,7,9,8,0,13,8,12,12,8,8,13,6,1,2,10,10,1,5
v7,2,2,6,6,5,13,0,5,1,9,5,7,8,9,12,11,5,11,14,8
v8,5,7,1,9,2,8,5,0,6,4,6,8,5,4,7,6,10,6,9,3
v9,1,3,5,5,4,12,1,6,0,10,4,6,9,10,11,10,4,12,13,7
v10,9,7,5,13,6,12,9,4,10,0,10,12,1,6,11,10,14,2,13,7
v11,3,7,5,3,4,8,5,6,4,10,0,2,9,10,7,8,4,12,9,5
v12,5,9,7,1,6,8,7,8,6,12,2,0,11,12,7,10,2,14,7,7
v13,8,6,6,12,5,13,8,5,9,1,9,11,0,7,12,11,13,3,14,8
v14,9,9,5,13,6,6,9,4,10,6,10,12,7,0,5,4,14,4,7,5
v15,10,14,6,8,7,1,12,7,11,11,7,7,12,5,0,3,9,9,2,4
v16,9,13,5,11,6,2,11,6,10,10,8,10,11,4,3,0,12,8,3,3
v17,5,7,9,1,8,10,5,10,4,14,4,2,13,14,9,12,0,16,9,9
v18,11,9,7,15,8,10,11,6,12,2,12,14,3,4,9,8,16,0,11,7
v19,12,16,8,8,9,1,14,9,13,13,9,7,14,7,2,3,9,11,0,6
v20,6,10,2,8,3,5,8,3,7,7,5,7,8,5,4,3,9,7,6,0
