,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13
v1,0,5,2,10,6,17,7,12,17,5,6,15,10
v2,5,0,3,9,11,14,12,13,12,8,7,12,15
v3,2,3,0,10,8,15,9,12,15,5,6,13,12
v4,10,9,10,0,10,23,13,14,15,9,6,15,20
v5,6,11,8,10,0,23,9,14,23,7,6,21,14
v6,17,14,15,23,23,0,14,25,8,20,19,26,27
v7,7,12,9,13,9,14,0,15,14,8,9,22,17
v8,12,13,12,14,14,25,15,0,25,7,8,7,6
v9,17,12,15,15,23,8,14,25,0,20,19,20,27
v10,5,8,5,9,7,20,8,7,20,0,3,14,11
v11,6,7,6,6,6,19,9,8,19,3,0,15,14
v12,15,12,13,15,21,26,22,7,20,14,15,0,7
v13,10,15,12,20,14,27,17,6,27,11,14,7,0
