,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,7,47,31,28,29,40,20,18,16,36,27,53,9,47,36,52,43,39,24
v2,7,0,40,38,29,30,33,21,17,17,37,34,54,8,48,37,53,36,40,25
v3,47,40,0,78,61,28,13,53,51,39,73,74,46,42,32,69,43,4,68,65
v4,31,38,78,0,17,50,71,25,47,39,7,8,32,38,52,9,35,74,10,13
v5,28,29,61,17,0,33,54,8,46,22,12,13,25,37,35,8,24,57,11,4
v6,29,30,28,50,33,0,21,25,47,13,45,46,24,38,18,41,23,24,40,37
v7,40,33,13,71,54,21,0,46,46,32,66,67,39,37,19,62,36,15,61,58
v8,20,21,53,25,8,25,46,0,38,14,20,21,33,29,27,16,32,49,19,12
v9,18,17,51,47,46,47,46,38,0,34,54,39,71,9,65,54,70,47,57,42
v10,16,17,39,39,22,13,32,14,34,0,34,35,37,25,31,30,36,35,29,26
v11,36,37,73,7,12,45,66,20,54,34,0,15,27,45,47,4,30,69,5,12
v12,27,34,74,8,13,46,67,21,39,35,15,0,32,32,48,15,31,70,18,9
v13,53,54,46,32,25,24,39,33,71,37,27,32,0,62,20,23,3,42,22,29
v14,9,8,42,38,37,38,37,29,9,25,45,32,62,0,56,45,61,38,48,33
v15,47,48,32,52,35,18,19,27,65,31,47,48,20,56,0,43,17,34,42,39
v16,36,37,69,9,8,41,62,16,54,30,4,15,23,45,43,0,26,65,3,12
v17,52,53,43,35,24,23,36,32,70,36,30,31,3,61,17,26,0,39,25,28
v18,43,36,4,74,57,24,15,49,47,35,69,70,42,38,34,65,39,0,64,61
v19,39,40,68,10,11,40,61,19,57,29,5,18,22,48,42,3,25,64,0,15
v20,24,25,65,13,4,37,58,12,42,26,12,9,29,33,39,12,28,61,15,0
