,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,12,14,18,2,4,17,14,7,16,15,15,20,6,14,6,5,13,6,14
v2,12,0,26,6,14,16,19,24,9,4,9,23,8,10,26,6,9,11,8,6
v3,14,26,0,32,16,12,9,6,17,22,17,7,24,20,4,20,19,15,18,20
v4,18,6,32,0,16,22,25,30,15,10,15,29,12,12,32,12,13,17,14,12
v5,2,14,16,16,0,6,19,16,9,18,17,17,22,4,16,8,5,15,8,16
v6,4,16,12,22,6,0,21,18,11,20,19,19,24,10,16,10,9,17,10,18
v7,17,19,9,25,19,21,0,5,10,15,10,4,17,15,7,13,14,8,11,13
v8,14,24,6,30,16,18,5,0,15,20,15,1,22,18,2,18,17,13,16,18
v9,7,9,17,15,9,11,10,15,0,9,8,14,13,5,17,3,4,6,1,7
v10,16,4,22,10,18,20,15,20,9,0,5,19,4,14,22,10,13,7,10,2
v11,15,9,17,15,17,19,10,15,8,5,0,14,7,13,17,9,12,2,9,3
v12,15,23,7,29,17,19,4,1,14,19,14,0,21,17,3,17,16,12,15,17
v13,20,8,24,12,22,24,17,22,13,4,7,21,0,18,24,14,17,9,14,6
v14,6,10,20,12,4,10,15,18,5,14,13,17,18,0,20,4,1,11,4,12
v15,14,26,4,32,16,16,7,2,17,22,17,3,24,20,0,20,19,15,18,20
v16,6,6,20,12,8,10,13,18,3,10,9,17,14,4,20,0,3,7,2,8
v17,5,9,19,13,5,9,14,17,4,13,12,16,17,1,19,3,0,10,3,11
v18,13,11,15,17,15,17,8,13,6,7,2,12,9,11,15,7,10,0,7,5
v19,6,8,18,14,8,10,11,16,1,10,9,15,14,4,18,2,3,7,0,8
v20,14,6,20,12,16,18,13,18,7,2,3,17,6,12,20,8,11,5,8,0
