,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,8,11,9,18,13,4,13,7,9,13,15,13,12,11,7,11,6,9,9
v2,8,0,15,17,26,21,6,17,13,11,15,17,17,16,3,3,19,8,17,17
v3,11,15,0,20,19,10,15,4,18,20,24,26,2,3,14,18,14,9,18,10
v4,9,17,20,0,9,10,11,22,4,6,4,6,22,21,20,14,6,15,2,10
v5,18,26,19,9,0,9,20,21,13,15,11,9,21,20,29,23,7,24,9,9
v6,13,21,10,10,9,0,15,12,8,10,14,16,12,11,24,18,4,19,8,4
v7,4,6,15,11,20,15,0,17,7,5,9,11,17,16,9,3,13,8,11,11
v8,13,17,4,22,21,12,17,0,20,22,26,28,6,1,18,20,16,13,20,12
v9,7,13,18,4,13,8,7,20,0,2,6,8,20,19,16,10,6,11,4,8
v10,9,11,20,6,15,10,5,22,2,0,4,6,22,21,14,8,8,13,6,10
v11,13,15,24,4,11,14,9,26,6,4,0,2,26,25,18,12,10,17,6,14
v12,15,17,26,6,9,16,11,28,8,6,2,0,28,27,20,14,12,19,8,16
v13,13,17,2,22,21,12,17,6,20,22,26,28,0,5,14,20,16,9,20,12
v14,12,16,3,21,20,11,16,1,19,21,25,27,5,0,17,19,15,12,19,11
v15,11,3,14,20,29,24,9,18,16,14,18,20,14,17,0,6,22,5,20,20
v16,7,3,18,14,23,18,3,20,10,8,12,14,20,19,6,0,16,11,14,14
v17,11,19,14,6,7,4,13,16,6,8,10,12,16,15,22,16,0,17,4,4
v18,6,8,9,15,24,19,8,13,11,13,17,19,9,12,5,11,17,0,15,15
v19,9,17,18,2,9,8,11,20,4,6,6,8,20,19,20,14,4,15,0,8
v20,9,17,10,10,9,4,11,12,8,10,14,16,12,11,20,14,4,15,8,0
