,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,8,14,13,25,2,14,11,12,14,14,11,12,7,12,6,11,20,9,26
v2,8,0,22,11,23,8,22,13,10,20,16,19,10,15,4,14,5,18,7,24
v3,14,22,0,15,19,14,6,9,26,2,6,9,16,9,26,10,25,12,23,18
v4,13,11,15,0,12,11,15,6,11,13,9,12,1,8,11,9,10,7,8,13
v5,25,23,19,12,0,23,19,14,13,17,13,20,13,20,19,21,18,7,16,1
v6,2,8,14,11,23,0,14,9,12,12,12,11,10,7,12,6,11,18,9,24
v7,14,22,6,15,19,14,0,9,26,6,6,3,16,7,26,8,25,12,23,18
v8,11,13,9,6,14,9,9,0,17,7,3,6,7,6,17,7,16,9,14,15
v9,12,10,26,11,13,12,26,17,0,24,20,23,10,19,6,18,5,14,3,14
v10,14,20,2,13,17,12,6,7,24,0,4,9,14,9,24,10,23,10,21,16
v11,14,16,6,9,13,12,6,3,20,4,0,9,10,9,20,10,19,6,17,12
v12,11,19,9,12,20,11,3,6,23,9,9,0,13,4,23,5,22,15,20,21
v13,12,10,16,1,13,10,16,7,10,14,10,13,0,9,10,8,9,8,7,14
v14,7,15,9,8,20,7,7,6,19,9,9,4,9,0,19,1,18,15,16,21
v15,12,4,26,11,19,12,26,17,6,24,20,23,10,19,0,18,1,14,3,20
v16,6,14,10,9,21,6,8,7,18,10,10,5,8,1,18,0,17,16,15,22
v17,11,5,25,10,18,11,25,16,5,23,19,22,9,18,1,17,0,13,2,19
v18,20,18,12,7,7,18,12,9,14,10,6,15,8,15,14,16,13,0,11,6
v19,9,7,23,8,16,9,23,14,3,21,17,20,7,16,3,15,2,11,0,17
v20,26,24,18,13,1,24,18,15,14,16,12,21,14,21,20,22,19,6,17,0
