,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,18,26,12,19,18,32,9,8,7,8,6,23,14,14,15,12,30,15,2
v2,18,0,14,6,25,16,14,11,18,17,10,14,13,4,26,5,24,12,7,16
v3,26,14,0,14,11,8,6,17,26,19,18,22,3,14,12,11,14,6,11,24
v4,12,6,14,0,23,14,20,9,12,15,8,8,11,2,24,3,22,18,5,12
v5,19,25,11,23,0,9,15,14,19,12,15,17,12,25,5,20,7,17,18,17
v6,18,16,8,14,9,0,14,9,18,11,10,14,5,16,10,11,8,12,9,16
v7,32,14,6,20,15,14,0,23,32,25,24,28,9,18,18,17,20,2,17,30
v8,9,11,17,9,14,9,23,0,9,6,1,5,14,11,15,6,13,21,6,7
v9,8,18,26,12,19,18,32,9,0,11,8,4,23,14,20,15,18,30,15,8
v10,7,17,19,15,12,11,25,6,11,0,7,9,16,17,9,12,7,23,10,5
v11,8,10,18,8,15,10,24,1,8,7,0,4,15,10,16,7,14,22,7,6
v12,6,14,22,8,17,14,28,5,4,9,4,0,19,10,18,11,16,26,11,6
v13,23,13,3,11,12,5,9,14,23,16,15,19,0,13,13,8,11,7,8,21
v14,14,4,14,2,25,16,18,11,14,17,10,10,13,0,26,5,24,16,7,14
v15,14,26,12,24,5,10,18,15,20,9,16,18,13,26,0,21,2,18,19,12
v16,15,5,11,3,20,11,17,6,15,12,7,11,8,5,21,0,19,15,2,13
v17,12,24,14,22,7,8,20,13,18,7,14,16,11,24,2,19,0,18,17,10
v18,30,12,6,18,17,12,2,21,30,23,22,26,7,16,18,15,18,0,15,28
v19,15,7,11,5,18,9,17,6,15,10,7,11,8,7,19,2,17,15,0,13
v20,2,16,24,12,17,16,30,7,8,5,6,6,21,14,12,13,10,28,13,0
