,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,15,4,9,9,6,5,17,14,15,13,16,5,3,8,13,19,8,9,16
v2,15,0,15,18,18,13,14,6,23,8,20,5,14,14,9,22,8,7,6,11
v3,4,15,0,5,5,10,1,17,10,15,13,16,3,1,8,9,19,8,9,16
v4,9,18,5,0,2,15,4,14,5,12,10,13,4,6,9,4,16,13,14,13
v5,9,18,5,2,0,15,4,12,5,10,8,13,4,6,9,4,14,13,14,11
v6,6,13,10,15,15,0,11,15,20,13,17,14,11,9,6,19,17,6,7,14
v7,5,14,1,4,4,11,0,16,9,14,12,15,2,2,7,8,18,9,10,15
v8,17,6,17,14,12,15,16,0,17,2,14,1,14,16,9,16,2,9,8,5
v9,14,23,10,5,5,20,9,17,0,15,11,18,9,11,14,1,17,18,19,14
v10,15,8,15,12,10,13,14,2,15,0,12,3,12,14,7,14,4,7,6,3
v11,13,20,13,10,8,17,12,14,11,12,0,15,10,12,11,12,12,15,16,9
v12,16,5,16,13,13,14,15,1,18,3,15,0,13,15,8,17,3,8,7,6
v13,5,14,3,4,4,11,2,14,9,12,10,13,0,2,5,8,16,9,10,13
v14,3,14,1,6,6,9,2,16,11,14,12,15,2,0,7,10,18,7,8,15
v15,8,9,8,9,9,6,7,9,14,7,11,8,5,7,0,13,11,4,5,8
v16,13,22,9,4,4,19,8,16,1,14,12,17,8,10,13,0,18,17,18,15
v17,19,8,19,16,14,17,18,2,17,4,12,3,16,18,11,18,0,11,10,3
v18,8,7,8,13,13,6,9,9,18,7,15,8,9,7,4,17,11,0,1,8
v19,9,6,9,14,14,7,10,8,19,6,16,7,10,8,5,18,10,1,0,7
v20,16,11,16,13,11,14,15,5,14,3,9,6,13,15,8,15,3,8,7,0
