,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,14,9,12,2,6,17,7,6,9,6,9,8,14,8,19,12,8,6,9
v2,14,0,5,16,12,8,31,21,14,5,10,23,6,28,16,9,8,18,20,13
v3,9,5,0,11,7,3,26,16,9,2,5,18,1,23,11,14,3,13,15,8
v4,12,16,11,0,10,8,29,19,12,13,12,21,12,26,4,25,8,12,18,15
v5,2,12,7,10,0,4,19,9,6,7,6,11,6,16,6,19,10,8,8,9
v6,6,8,3,8,4,0,23,13,6,5,4,15,4,20,8,17,6,10,12,7
v7,17,31,26,29,19,23,0,10,17,26,21,8,25,3,25,22,29,17,11,18
v8,7,21,16,19,9,13,10,0,7,16,11,6,15,7,15,20,19,7,7,10
v9,6,14,9,12,6,6,17,7,0,9,4,9,8,14,12,13,12,14,6,3
v10,9,5,2,13,7,5,26,16,9,0,5,18,1,23,13,12,5,15,15,8
v11,6,10,5,12,6,4,21,11,4,5,0,13,4,18,12,13,8,14,10,3
v12,9,23,18,21,11,15,8,6,9,18,13,0,17,5,17,14,21,13,3,10
v13,8,6,1,12,6,4,25,15,8,1,4,17,0,22,12,13,4,14,14,7
v14,14,28,23,26,16,20,3,7,14,23,18,5,22,0,22,19,26,14,8,15
v15,8,16,11,4,6,8,25,15,12,13,12,17,12,22,0,25,8,8,14,15
v16,19,9,14,25,19,17,22,20,13,12,13,14,13,19,25,0,17,27,13,10
v17,12,8,3,8,10,6,29,19,12,5,8,21,4,26,8,17,0,12,18,11
v18,8,18,13,12,8,10,17,7,14,15,14,13,14,14,8,27,12,0,14,17
v19,6,20,15,18,8,12,11,7,6,15,10,3,14,8,14,13,18,14,0,7
v20,9,13,8,15,9,7,18,10,3,8,3,10,7,15,15,10,11,17,7,0
