,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,5,9,11,13,12,7,8,12,16,23,3,8,20,9,10,14,19,16,6
v2,5,0,10,6,16,7,4,3,7,11,18,8,5,15,6,7,17,16,11,7
v3,9,10,0,10,6,7,14,9,5,19,14,12,15,15,4,17,7,26,9,3
v4,11,6,10,0,16,3,8,3,5,9,12,14,11,9,6,7,17,16,5,7
v5,13,16,6,16,0,13,20,15,11,25,14,16,21,21,10,23,5,32,15,9
v6,12,7,7,3,13,0,9,4,2,12,11,15,12,8,3,10,14,19,4,6
v7,7,4,14,8,20,9,0,5,9,13,20,6,3,17,10,3,21,12,13,11
v8,8,3,9,3,15,4,5,0,4,10,15,11,8,12,5,8,16,17,8,6
v9,12,7,5,5,11,2,9,4,0,14,11,15,12,10,3,12,12,21,4,6
v10,16,11,19,9,25,12,13,10,14,0,11,19,16,4,15,12,26,7,10,16
v11,23,18,14,12,14,11,20,15,11,11,0,26,23,7,14,19,15,18,7,17
v12,3,8,12,14,16,15,6,11,15,19,26,0,5,23,12,7,17,16,19,9
v13,8,5,15,11,21,12,3,8,12,16,23,5,0,20,11,4,22,13,16,12
v14,20,15,15,9,21,8,17,12,10,4,7,23,20,0,11,16,22,11,6,14
v15,9,6,4,6,10,3,10,5,3,15,14,12,11,11,0,13,11,22,7,3
v16,10,7,17,7,23,10,3,8,12,12,19,7,4,16,13,0,24,9,12,14
v17,14,17,7,17,5,14,21,16,12,26,15,17,22,22,11,24,0,33,16,10
v18,19,16,26,16,32,19,12,17,21,7,18,16,13,11,22,9,33,0,17,23
v19,16,11,9,5,15,4,13,8,4,10,7,19,16,6,7,12,16,17,0,10
v20,6,7,3,7,9,6,11,6,6,16,17,9,12,14,3,14,10,23,10,0
