,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,9,76,50,113,41,33,74,56,63,64,65,34,66,92,63,37,30,85,57
v2,9,0,67,57,120,48,40,65,63,70,71,74,25,57,83,70,44,23,92,64
v3,76,67,0,122,95,91,57,6,86,79,116,141,64,10,16,29,107,64,71,59
v4,50,57,122,0,63,31,65,120,36,43,14,19,80,112,138,95,15,80,51,63
v5,113,120,95,63,0,72,80,93,57,50,49,52,143,85,111,68,76,143,28,56
v6,41,48,91,31,72,0,34,89,15,22,25,50,71,81,107,64,16,71,44,32
v7,33,40,57,65,80,34,0,55,29,30,59,84,63,47,73,30,50,63,52,24
v8,74,65,6,120,93,89,55,0,84,77,114,139,70,8,18,25,105,70,69,57
v9,56,63,86,36,57,15,29,84,0,7,30,55,86,76,102,59,21,86,29,27
v10,63,70,79,43,50,22,30,77,7,0,37,62,93,69,95,52,28,93,22,20
v11,64,71,116,14,49,25,59,114,30,37,0,25,94,106,132,89,27,94,45,57
v12,65,74,141,19,52,50,84,139,55,62,25,0,99,131,157,114,34,91,70,82
v13,34,25,64,80,143,71,63,70,86,93,94,99,0,62,76,93,67,14,115,87
v14,66,57,10,112,85,81,47,8,76,69,106,131,62,0,26,31,97,62,61,49
v15,92,83,16,138,111,107,73,18,102,95,132,157,76,26,0,43,123,76,87,75
v16,63,70,29,95,68,64,30,25,59,52,89,114,93,31,43,0,80,93,44,32
v17,37,44,107,15,76,16,50,105,21,28,27,34,67,97,123,80,0,67,48,48
v18,30,23,64,80,143,71,63,70,86,93,94,91,14,62,76,93,67,0,115,87
v19,85,92,71,51,28,44,52,69,29,22,45,70,115,61,87,44,48,115,0,28
v20,57,64,59,63,56,32,24,57,27,20,57,82,87,49,75,32,48,87,28,0
