,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,74,68,138,92,31,105,73,34,96,78,142,73,54,54,39,73,73,29,84
v2,74,0,6,120,74,105,87,3,56,78,60,124,55,104,114,113,55,83,53,88
v3,68,6,0,120,74,99,87,5,50,78,60,124,55,98,108,107,55,77,47,82
v4,138,120,120,0,46,113,51,117,104,42,60,14,65,84,84,99,65,65,167,54
v5,92,74,74,46,0,67,61,71,58,10,44,50,25,54,64,63,19,33,121,38
v6,31,105,99,113,67,0,116,104,49,71,99,117,80,29,29,14,68,48,54,59
v7,105,87,87,51,61,116,0,84,71,71,27,65,36,115,125,124,48,94,134,99
v8,73,3,5,117,71,104,84,0,55,75,57,121,52,103,113,112,52,82,52,87
v9,34,56,50,104,58,49,71,55,0,62,50,108,39,48,58,57,39,39,63,50
v10,96,78,78,42,10,71,71,75,62,0,54,46,35,44,54,57,23,23,125,28
v11,78,60,60,60,44,99,27,57,50,54,0,64,19,98,108,107,31,77,107,82
v12,142,124,124,14,50,117,65,121,108,46,64,0,69,88,88,103,69,69,171,58
v13,73,55,55,65,25,80,36,52,39,35,19,69,0,79,89,88,12,58,102,63
v14,54,104,98,84,54,29,115,103,48,44,98,88,79,0,10,15,67,21,83,30
v15,54,114,108,84,64,29,125,113,58,54,108,88,89,10,0,15,77,31,83,30
v16,39,113,107,99,63,14,124,112,57,57,107,103,88,15,15,0,76,34,68,45
v17,73,55,55,65,19,68,48,52,39,23,31,69,12,67,77,76,0,46,102,51
v18,73,83,77,65,33,48,94,82,39,23,77,69,58,21,31,34,46,0,102,11
v19,29,53,47,167,121,54,134,52,63,125,107,171,102,83,83,68,102,102,0,113
v20,84,88,82,54,38,59,99,87,50,28,82,58,63,30,30,45,51,11,113,0
