,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,117,81,77,88,93,15,81,57,58,32,44,42,102,3,22,60,60,37,103
v2,117,0,64,40,81,26,132,76,60,59,117,75,75,23,114,95,65,57,80,56
v3,81,64,0,50,145,90,96,24,24,67,101,113,39,87,78,71,129,47,68,120
v4,77,40,50,0,95,40,92,62,36,19,77,63,35,37,74,55,79,17,40,70
v5,88,81,145,95,0,55,103,157,131,78,88,46,108,58,85,74,30,98,77,25
v6,93,26,90,40,55,0,108,102,76,35,93,51,53,9,90,71,39,43,56,30
v7,15,132,96,92,103,108,0,72,72,73,45,57,57,117,18,37,73,75,52,118
v8,81,76,24,62,157,102,72,0,26,79,113,125,49,99,80,83,141,59,80,132
v9,57,60,24,36,131,76,72,26,0,53,87,99,23,73,54,57,115,33,54,106
v10,58,59,67,19,78,35,73,79,53,0,58,46,30,44,55,36,62,20,21,53
v11,32,117,101,77,88,93,45,113,87,58,0,42,64,102,33,30,58,60,37,103
v12,44,75,113,63,46,51,57,125,99,46,42,0,76,60,45,42,16,66,45,61
v13,42,75,39,35,108,53,57,49,23,30,64,76,0,60,39,34,92,18,31,83
v14,102,23,87,37,58,9,117,99,73,44,102,60,60,0,99,80,44,42,65,33
v15,3,114,78,74,85,90,18,80,54,55,33,45,39,99,0,19,61,57,34,100
v16,22,95,71,55,74,71,37,83,57,36,30,42,34,80,19,0,58,38,15,81
v17,60,65,129,79,30,39,73,141,115,62,58,16,92,44,61,58,0,82,61,45
v18,60,57,47,17,98,43,75,59,33,20,60,66,18,42,57,38,82,0,23,73
v19,37,80,68,40,77,56,52,80,54,21,37,45,31,65,34,15,61,23,0,66
v20,103,56,120,70,25,30,118,132,106,53,103,61,83,33,100,81,45,73,66,0
