,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,33,132,39,58,75,88,43,7,120,94,120,103,107,55,25,22,133,47,68
v2,33,0,127,60,81,70,83,72,32,115,89,115,98,102,24,56,11,128,42,83
v3,132,127,0,93,74,75,44,89,125,12,38,50,57,59,103,107,126,27,85,64
v4,39,60,93,0,21,90,49,12,32,81,55,81,72,74,82,14,49,94,70,29
v5,58,81,74,21,0,111,30,15,51,62,36,86,93,95,103,33,70,75,91,10
v6,75,70,75,90,111,0,85,102,68,81,81,45,28,32,46,86,69,58,28,113
v7,88,83,44,49,30,85,0,45,81,32,6,60,67,69,77,63,82,45,65,28
v8,43,72,89,12,15,102,45,0,40,77,51,77,84,86,94,18,61,90,82,25
v9,7,32,125,32,51,68,81,40,0,113,87,113,96,100,54,24,21,126,42,61
v10,120,115,12,81,62,81,32,77,113,0,26,56,63,65,91,95,114,33,73,52
v11,94,89,38,55,36,81,6,51,87,26,0,56,63,65,73,69,88,39,61,32
v12,120,115,50,81,86,45,60,77,113,56,56,0,17,13,91,95,114,23,73,88
v13,103,98,57,72,93,28,67,84,96,63,63,17,0,4,74,78,97,30,56,95
v14,107,102,59,74,95,32,69,86,100,65,65,13,4,0,78,82,101,32,60,97
v15,55,24,103,82,103,46,77,94,54,91,73,91,74,78,0,78,33,104,18,105
v16,25,56,107,14,33,86,63,18,24,95,69,95,78,82,78,0,45,108,66,43
v17,22,11,126,49,70,69,82,61,21,114,88,114,97,101,33,45,0,127,41,72
v18,133,128,27,94,75,58,45,90,126,33,39,23,30,32,104,108,127,0,86,65
v19,47,42,85,70,91,28,65,82,42,73,61,73,56,60,18,66,41,86,0,93
v20,68,83,64,29,10,113,28,25,61,52,32,88,95,97,105,43,72,65,93,0
