,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,74,89,47,61,111,21,67,47,77,115,12,64,58,59,87,63,89,83,30
v2,74,0,87,83,121,137,53,141,91,65,133,86,62,132,117,39,59,163,153,44
v3,89,87,0,42,34,50,70,60,42,22,46,97,25,93,30,48,28,76,66,69
v4,47,83,42,0,38,64,30,58,8,30,68,55,21,51,34,44,24,80,70,39
v5,61,121,34,38,0,50,68,32,30,56,54,69,59,65,4,82,62,42,32,77
v6,111,137,50,64,50,0,92,82,64,72,4,119,75,115,52,98,78,58,28,93
v7,21,53,70,30,68,92,0,88,38,58,96,33,45,79,64,68,44,110,100,9
v8,67,141,60,58,32,82,88,0,50,76,86,55,79,33,30,102,82,24,54,97
v9,47,91,42,8,30,64,38,50,0,30,68,55,29,51,26,52,32,72,62,47
v10,77,65,22,30,56,72,58,76,30,0,68,85,13,81,52,26,14,98,88,57
v11,115,133,46,68,54,4,96,86,68,68,0,123,71,119,56,94,74,62,32,95
v12,12,86,97,55,69,119,33,55,55,85,123,0,72,46,67,95,71,77,91,42
v13,64,62,25,21,59,75,45,79,29,13,71,72,0,70,55,23,3,101,91,44
v14,58,132,93,51,65,115,79,33,51,81,119,46,70,0,63,93,73,57,87,88
v15,59,117,30,34,4,52,64,30,26,52,56,67,55,63,0,78,58,46,36,73
v16,87,39,48,44,82,98,68,102,52,26,94,95,23,93,78,0,24,124,114,67
v17,63,59,28,24,62,78,44,82,32,14,74,71,3,73,58,24,0,104,94,43
v18,89,163,76,80,42,58,110,24,72,98,62,77,101,57,46,124,104,0,30,119
v19,83,153,66,70,32,28,100,54,62,88,32,91,91,87,36,114,94,30,0,109
v20,30,44,69,39,77,93,9,97,47,57,95,42,44,88,73,67,43,119,109,0
