,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,24,89,25,22,70,107,56,40,51,29,13,62,24,83,20,62,82,46,26
v2,24,0,101,49,16,82,119,32,28,63,41,37,56,12,95,32,60,94,58,4
v3,89,101,0,70,85,19,18,119,129,40,60,90,45,113,16,69,41,7,49,105
v4,25,49,70,0,47,51,88,81,59,32,14,20,87,43,78,31,87,63,27,51
v5,22,16,85,47,0,66,103,34,44,47,33,35,40,28,79,16,44,78,42,20
v6,70,82,19,51,66,0,37,100,110,29,41,71,36,94,27,50,36,12,38,86
v7,107,119,18,88,103,37,0,137,147,56,78,108,63,131,24,87,59,25,61,123
v8,56,32,119,81,34,100,137,0,60,81,67,69,74,40,113,50,78,112,76,30
v9,40,28,129,59,44,110,147,60,0,91,69,39,84,20,123,60,88,122,86,30
v10,51,63,40,32,47,29,56,81,91,0,22,52,65,75,56,31,65,35,9,67
v11,29,41,60,14,33,41,78,67,69,22,0,30,73,53,64,17,73,53,17,45
v12,13,37,90,20,35,71,108,69,39,52,30,0,75,29,84,21,75,83,47,39
v13,62,56,45,87,40,36,63,74,84,65,73,75,0,68,39,56,4,38,74,60
v14,24,12,113,43,28,94,131,40,20,75,53,29,68,0,107,44,72,106,70,10
v15,83,95,16,78,79,27,24,113,123,56,64,84,39,107,0,63,35,21,65,99
v16,20,32,69,31,16,50,87,50,60,31,17,21,56,44,63,0,56,62,26,36
v17,62,60,41,87,44,36,59,78,88,65,73,75,4,72,35,56,0,34,74,64
v18,82,94,7,63,78,12,25,112,122,35,53,83,38,106,21,62,34,0,44,98
v19,46,58,49,27,42,38,61,76,86,9,17,47,74,70,65,26,74,44,0,62
v20,26,4,105,51,20,86,123,30,30,67,45,39,60,10,99,36,64,98,62,0
