,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,52,70,43,77,20,120,134,21,31,36,102,54,56,83,31,33,90,48,60
v2,52,0,110,49,37,70,68,82,43,61,76,76,94,16,93,21,21,38,8,30
v3,70,110,0,113,147,62,76,90,67,49,34,58,34,126,39,93,103,92,102,80
v4,43,49,113,0,62,63,117,131,46,64,79,99,97,37,96,28,28,87,45,57
v5,77,37,147,62,0,97,87,81,80,98,113,113,131,25,130,54,44,55,45,67
v6,20,70,62,63,97,0,138,152,39,49,50,120,34,76,101,49,53,108,66,78
v7,120,68,76,117,87,138,0,14,99,89,88,26,110,80,43,89,89,32,72,60
v8,134,82,90,131,81,152,14,0,113,103,102,32,124,94,51,103,103,44,86,74
v9,21,43,67,46,80,39,99,113,0,18,33,81,51,59,62,26,36,69,35,39
v10,31,61,49,64,98,49,89,103,18,0,15,71,33,77,52,44,54,59,53,31
v11,36,76,34,79,113,50,88,102,33,15,0,70,22,92,51,59,69,58,68,46
v12,102,76,58,99,113,120,26,32,81,71,70,0,92,92,19,71,71,58,68,46
v13,54,94,34,97,131,34,110,124,51,33,22,92,0,110,73,77,87,80,86,64
v14,56,16,126,37,25,76,80,94,59,77,92,92,110,0,109,33,23,50,24,46
v15,83,93,39,96,130,101,43,51,62,52,51,19,73,109,0,76,86,75,85,63
v16,31,21,93,28,54,49,89,103,26,44,59,71,77,33,76,0,10,59,17,29
v17,33,21,103,28,44,53,89,103,36,54,69,71,87,23,86,10,0,59,17,29
v18,90,38,92,87,55,108,32,44,69,59,58,58,80,50,75,59,59,0,42,30
v19,48,8,102,45,45,66,72,86,35,53,68,68,86,24,85,17,17,42,0,22
v20,60,30,80,57,67,78,60,74,39,31,46,46,64,46,63,29,29,30,22,0
