,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,72,112,99,8,129,63,105,50,32,67,33,78,13,115,32,27,110,71,42
v2,72,0,48,27,68,117,15,93,86,62,9,105,50,63,43,56,53,98,57,36
v3,112,48,0,29,108,69,63,113,126,102,57,145,34,103,17,96,93,86,41,76
v4,99,27,29,0,95,98,36,100,113,89,32,132,31,90,16,83,80,79,38,63
v5,8,68,108,95,0,121,59,97,42,24,63,37,74,21,111,24,35,102,67,34
v6,129,117,69,98,121,0,132,50,79,97,126,100,67,142,86,97,156,23,60,87
v7,63,15,63,36,59,132,0,108,77,53,6,96,65,54,52,47,44,113,72,45
v8,105,93,113,100,97,50,108,0,55,73,102,76,79,118,116,73,132,27,72,63
v9,50,86,126,113,42,79,77,55,0,24,81,21,92,63,129,30,77,60,85,50
v10,32,62,102,89,24,97,53,73,24,0,57,43,68,45,105,6,59,78,61,26
v11,67,9,57,32,63,126,6,102,81,57,0,100,59,58,48,51,48,107,66,39
v12,33,105,145,132,37,100,96,76,21,43,100,0,111,42,148,49,56,81,104,69
v13,78,50,34,31,74,67,65,79,92,68,59,111,0,75,37,62,89,52,7,42
v14,13,63,103,90,21,142,54,118,63,45,58,42,75,0,106,45,14,123,82,55
v15,115,43,17,16,111,86,52,116,129,105,48,148,37,106,0,99,96,89,44,79
v16,32,56,96,83,24,97,47,73,30,6,51,49,62,45,99,0,59,78,55,20
v17,27,53,93,80,35,156,44,132,77,59,48,56,89,14,96,59,0,137,96,69
v18,110,98,86,79,102,23,113,27,60,78,107,81,52,123,89,78,137,0,45,68
v19,71,57,41,38,67,60,72,72,85,61,66,104,7,82,44,55,96,45,0,35
v20,42,36,76,63,34,87,45,63,50,26,39,69,42,55,79,20,69,68,35,0
