,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,80,71,47,26,34,53,43,56,85,137,55,67,92,58,82,18,88,55,63
v2,80,0,15,87,70,72,37,83,36,99,57,27,13,132,22,26,62,128,79,17
v3,71,15,0,102,61,87,52,98,51,114,66,18,24,147,29,41,53,143,94,8
v4,47,87,102,0,73,15,50,14,51,60,112,102,78,45,73,61,55,49,30,96
v5,26,70,61,73,0,58,43,69,46,85,127,43,57,118,48,72,18,114,65,53
v6,34,72,87,15,58,0,35,23,36,51,103,87,63,60,58,48,40,56,21,81
v7,53,37,52,50,43,35,0,46,3,62,84,52,28,95,23,29,35,91,42,46
v8,43,83,98,14,69,23,46,0,47,74,126,98,74,49,69,71,51,63,44,92
v9,56,36,51,51,46,36,3,47,0,63,81,51,27,96,22,26,38,92,43,45
v10,85,99,114,60,85,51,62,74,63,0,68,114,90,33,85,73,67,29,30,108
v11,137,57,66,112,127,103,84,126,81,68,0,84,70,101,79,55,119,97,82,74
v12,55,27,18,102,43,87,52,98,51,114,84,0,24,147,29,41,47,143,94,10
v13,67,13,24,78,57,63,28,74,27,90,70,24,0,123,9,17,49,119,70,18
v14,92,132,147,45,118,60,95,49,96,33,101,147,123,0,118,106,100,20,53,141
v15,58,22,29,73,48,58,23,69,22,85,79,29,9,118,0,24,40,114,65,23
v16,82,26,41,61,72,48,29,71,26,73,55,41,17,106,24,0,64,102,53,35
v17,18,62,53,55,18,40,35,51,38,67,119,47,49,100,40,64,0,96,47,45
v18,88,128,143,49,114,56,91,63,92,29,97,143,119,20,114,102,96,0,49,137
v19,55,79,94,30,65,21,42,44,43,30,82,94,70,53,65,53,47,49,0,88
v20,63,17,8,96,53,81,46,92,45,108,74,10,18,141,23,35,45,137,88,0
