,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,86,88,117,81,88,175,106,169,219,246,22,46,205,66,75,86,165,131,58
v2,86,0,50,121,77,48,89,110,83,133,160,66,58,209,86,79,62,169,61,28
v3,88,50,0,171,39,98,87,160,81,131,158,68,100,259,120,129,12,219,111,30
v4,117,121,171,0,198,73,192,25,182,192,219,139,71,88,51,42,183,132,104,145
v5,81,77,39,198,0,125,126,187,120,170,197,59,127,286,147,156,37,246,138,53
v6,88,48,98,73,125,0,119,86,109,131,158,68,60,161,88,31,110,121,43,72
v7,175,89,87,192,126,119,0,181,10,144,87,155,147,280,175,150,89,240,132,117
v8,106,110,160,25,187,86,181,0,171,217,244,128,60,99,40,61,172,157,129,134
v9,169,83,81,182,120,109,10,171,0,134,77,149,141,270,169,140,83,230,122,111
v10,219,133,131,192,170,131,144,217,134,0,57,199,191,136,219,156,135,96,88,161
v11,246,160,158,219,197,158,87,244,77,57,0,226,218,193,246,183,160,153,115,188
v12,22,66,68,139,59,68,155,128,149,199,226,0,68,227,88,97,66,187,111,38
v13,46,58,100,71,127,60,147,60,141,191,218,68,0,159,28,35,112,131,103,74
v14,205,209,259,88,286,161,280,99,270,136,193,227,159,0,139,130,271,72,148,233
v15,66,86,120,51,147,88,175,40,169,219,246,88,28,139,0,63,132,159,131,94
v16,75,79,129,42,156,31,150,61,140,156,183,97,35,130,63,0,141,96,68,103
v17,86,62,12,183,37,110,89,172,83,135,160,66,112,271,132,141,0,231,123,38
v18,165,169,219,132,246,121,240,157,230,96,153,187,131,72,159,96,231,0,108,193
v19,131,61,111,104,138,43,132,129,122,88,115,111,103,148,131,68,123,108,0,85
v20,58,28,30,145,53,72,117,134,111,161,188,38,74,233,94,103,38,193,85,0
