,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,139,215,96,197,185,250,58,182,167,92,48,259,133,157,44,279,195,156,123
v2,139,0,150,55,58,120,139,109,69,42,57,119,120,20,228,121,140,146,25,16
v3,215,150,0,133,180,30,35,157,219,108,123,195,82,170,78,171,94,20,125,138
v4,96,55,133,0,113,103,166,92,86,83,40,64,175,37,211,104,195,129,72,39
v5,197,58,180,113,0,150,169,139,101,72,105,177,98,78,258,153,86,176,55,74
v6,185,120,30,103,150,0,65,127,189,78,93,165,74,140,108,141,94,26,95,108
v7,250,139,35,166,169,65,0,192,208,97,158,230,71,159,93,206,83,55,114,127
v8,58,109,157,92,139,127,192,0,178,109,52,44,201,129,119,14,221,137,98,97
v9,182,69,219,86,101,189,208,178,0,111,126,134,163,49,297,190,183,215,94,81
v10,167,42,108,83,72,78,97,109,111,0,75,147,92,62,186,123,112,104,17,44
v11,92,57,123,40,105,93,158,52,126,75,0,72,167,77,171,64,187,103,64,45
v12,48,119,195,64,177,165,230,44,134,147,72,0,239,99,163,56,259,175,136,103
v13,259,120,82,175,98,74,71,201,163,92,167,239,0,140,160,215,20,78,103,136
v14,133,20,170,37,78,140,159,129,49,62,77,99,140,0,248,141,160,166,45,32
v15,157,228,78,211,258,108,93,119,297,186,171,163,160,248,0,113,172,82,203,216
v16,44,121,171,104,153,141,206,14,190,123,64,56,215,141,113,0,235,151,112,109
v17,279,140,94,195,86,94,83,221,183,112,187,259,20,160,172,235,0,90,123,156
v18,195,146,20,129,176,26,55,137,215,104,103,175,78,166,82,151,90,0,121,134
v19,156,25,125,72,55,95,114,98,94,17,64,136,103,45,203,112,123,121,0,33
v20,123,16,138,39,74,108,127,97,81,44,45,103,136,32,216,109,156,134,33,0
