,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,150,128,90,164,137,60,111,241,176,227,183,175,149,162,119,124,142,33,113
v2,150,0,22,164,64,81,90,121,91,54,103,33,25,25,12,95,156,10,125,161
v3,128,22,0,174,74,91,88,131,113,64,113,55,47,21,34,105,166,14,117,171
v4,90,164,174,0,122,95,86,69,199,134,185,141,179,189,152,77,82,174,57,71
v5,164,64,74,122,0,27,104,57,77,12,63,31,79,89,52,45,92,74,139,97
v6,137,81,91,95,27,0,77,40,104,39,90,48,96,106,69,18,75,91,112,80
v7,60,90,88,86,104,77,0,51,181,116,167,123,115,103,102,59,78,88,35,83
v8,111,121,131,69,57,40,51,0,130,67,116,88,136,146,109,26,35,131,86,40
v9,241,91,113,199,77,104,181,130,0,65,106,58,66,92,79,122,159,99,216,164
v10,176,54,64,134,12,39,116,67,65,0,51,21,69,79,42,57,102,64,151,107
v11,227,103,113,185,63,90,167,116,106,51,0,70,118,128,91,108,103,113,202,114
v12,183,33,55,141,31,48,123,88,58,21,70,0,48,58,21,64,123,43,158,128
v13,175,25,47,179,79,96,115,136,66,69,118,48,0,26,27,110,171,33,150,176
v14,149,25,21,189,89,106,103,146,92,79,128,58,26,0,37,120,181,15,132,186
v15,162,12,34,152,52,69,102,109,79,42,91,21,27,37,0,83,144,22,137,149
v16,119,95,105,77,45,18,59,26,122,57,108,64,110,120,83,0,61,105,94,66
v17,124,156,166,82,92,75,78,35,159,102,103,123,171,181,144,61,0,166,99,11
v18,142,10,14,174,74,91,88,131,99,64,113,43,33,15,22,105,166,0,117,171
v19,33,125,117,57,139,112,35,86,216,151,202,158,150,132,137,94,99,117,0,88
v20,113,161,171,71,97,80,83,40,164,107,114,128,176,186,149,66,11,171,88,0
