,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,211,175,114,9,233,168,126,153,116,190,75,87,40,170,95,79,146,66,52
v2,211,0,36,111,210,142,55,299,186,139,29,260,124,207,63,148,198,235,145,263
v3,175,36,0,93,174,160,37,263,150,103,15,224,88,171,45,112,162,199,109,227
v4,114,111,93,0,113,253,56,202,173,136,82,163,77,110,56,115,101,166,84,166
v5,9,210,174,113,0,224,167,117,144,107,189,66,86,49,169,86,88,137,65,53
v6,233,142,160,253,224,0,197,159,80,117,171,158,176,273,205,138,312,95,169,271
v7,168,55,37,56,167,197,0,256,143,96,26,217,81,164,8,105,155,192,102,220
v8,126,299,263,202,117,159,256,0,113,160,278,51,175,166,258,151,205,64,154,164
v9,153,186,150,173,144,80,143,113,0,47,165,78,96,193,145,58,232,49,89,191
v10,116,139,103,136,107,117,96,160,47,0,118,121,59,156,98,21,195,96,52,154
v11,190,29,15,82,189,171,26,278,165,118,0,239,103,186,34,127,177,214,124,242
v12,75,260,224,163,66,158,217,51,78,121,239,0,136,115,219,112,154,71,115,113
v13,87,124,88,77,86,176,81,175,96,59,103,136,0,97,83,38,136,111,21,139
v14,40,207,171,110,49,273,164,166,193,156,186,115,97,0,166,135,39,186,104,56
v15,170,63,45,56,169,205,8,258,145,98,34,219,83,166,0,107,157,194,104,222
v16,95,148,112,115,86,138,105,151,58,21,127,112,38,135,107,0,174,87,31,133
v17,79,198,162,101,88,312,155,205,232,195,177,154,136,39,157,174,0,225,143,65
v18,146,235,199,166,137,95,192,64,49,96,214,71,111,186,194,87,225,0,90,184
v19,66,145,109,84,65,169,102,154,89,52,124,115,21,104,104,31,143,90,0,118
v20,52,263,227,166,53,271,220,164,191,154,242,113,139,56,222,133,65,184,118,0
