,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,206,96,132,14,165,79,66,106,192,172,33,147,162,18,192,144,115,93,85
v2,206,0,110,262,192,277,127,218,100,226,268,213,201,368,188,154,194,321,293,121
v3,96,110,0,152,82,167,53,120,102,138,158,103,93,258,78,138,90,211,183,39
v4,132,262,152,0,120,33,135,198,180,60,40,165,61,106,120,108,68,91,39,141
v5,14,192,82,120,0,153,65,78,92,180,160,45,135,176,4,180,132,129,101,71
v6,165,277,167,33,153,0,164,231,213,51,9,198,76,127,153,123,83,124,72,156
v7,79,127,53,135,65,164,0,91,49,191,171,86,146,241,61,191,143,194,166,14
v8,66,218,120,198,78,231,91,0,118,258,238,33,213,150,78,258,210,107,159,97
v9,106,100,102,180,92,213,49,118,0,240,220,113,195,268,88,240,192,221,193,63
v10,192,226,138,60,180,51,191,258,240,0,42,225,45,154,180,72,48,151,99,177
v11,172,268,158,40,160,9,171,238,220,42,0,205,67,134,160,114,74,131,79,157
v12,33,213,103,165,45,198,86,33,113,225,205,0,180,155,45,225,177,108,126,92
v13,147,201,93,61,135,76,146,213,195,45,67,180,0,167,135,47,7,120,92,132
v14,162,368,258,106,176,127,241,150,268,154,134,155,167,0,180,214,174,47,75,247
v15,18,188,78,120,4,153,61,78,88,180,160,45,135,180,0,180,132,133,105,67
v16,192,154,138,108,180,123,191,258,240,72,114,225,47,214,180,0,48,167,139,177
v17,144,194,90,68,132,83,143,210,192,48,74,177,7,174,132,48,0,127,99,129
v18,115,321,211,91,129,124,194,107,221,151,131,108,120,47,133,167,127,0,52,200
v19,93,293,183,39,101,72,166,159,193,99,79,126,92,75,105,139,99,52,0,172
v20,85,121,39,141,71,156,14,97,63,177,157,92,132,247,67,177,129,200,172,0
