,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,60,202,168,58,105,149,161,51,69,98,245,193,30,158,127,108,71,73,139
v2,60,0,142,130,118,63,147,199,89,73,76,185,133,64,196,75,70,109,13,79
v3,202,142,0,194,260,127,83,135,205,133,104,43,91,206,132,139,134,139,129,67
v4,168,130,194,0,200,67,277,329,219,203,206,197,107,138,326,55,60,239,125,127
v5,58,118,260,200,0,163,207,171,55,127,156,303,251,62,172,185,160,121,131,197
v6,105,63,127,67,163,0,210,262,152,136,139,140,88,109,259,22,7,172,58,60
v7,149,147,83,277,207,210,0,52,152,80,71,96,174,153,49,222,217,86,152,150
v8,161,199,135,329,171,262,52,0,116,126,123,132,226,191,3,274,269,90,204,202
v9,51,89,205,219,55,152,152,116,0,72,101,248,196,81,117,164,159,66,94,142
v10,69,73,133,203,127,136,80,126,72,0,29,176,124,73,123,148,143,36,78,76
v11,98,76,104,206,156,139,71,123,101,29,0,147,103,102,120,151,146,35,81,79
v12,245,185,43,197,303,140,96,132,248,176,147,0,94,249,131,142,143,182,172,106
v13,193,133,91,107,251,88,174,226,196,124,103,94,0,197,223,66,91,136,120,54
v14,30,64,206,138,62,109,153,191,81,73,102,249,197,0,188,131,106,101,77,143
v15,158,196,132,326,172,259,49,3,117,123,120,131,223,188,0,271,266,87,201,199
v16,127,75,139,55,185,22,222,274,164,148,151,142,66,131,271,0,25,184,70,72
v17,108,70,134,60,160,7,217,269,159,143,146,143,91,106,266,25,0,179,65,67
v18,71,109,139,239,121,172,86,90,66,36,35,182,136,101,87,184,179,0,114,112
v19,73,13,129,125,131,58,152,204,94,78,81,172,120,77,201,70,65,114,0,66
v20,139,79,67,127,197,60,150,202,142,76,79,106,54,143,199,72,67,112,66,0
