,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,19,60,127,166,112,106,61,122,158,137,164,74,38,124,36,78,69,98,106
v2,19,0,47,140,179,131,125,48,141,177,156,177,61,19,111,55,97,50,111,119
v3,60,47,0,187,226,138,132,17,148,184,163,224,28,28,64,62,118,43,158,166
v4,127,140,187,0,39,127,205,188,117,153,72,37,201,159,251,137,69,158,29,93
v5,166,179,226,39,0,166,244,227,156,192,95,8,240,198,290,176,108,197,68,124
v6,112,131,138,127,166,0,78,121,10,46,71,164,166,150,124,76,58,181,98,140
v7,106,125,132,205,244,78,0,115,88,52,149,242,160,144,76,70,136,175,176,184
v8,61,48,17,188,227,121,115,0,131,167,146,225,45,29,63,51,119,60,159,167
v9,122,141,148,117,156,10,88,131,0,36,61,154,176,160,134,86,48,191,88,150
v10,158,177,184,153,192,46,52,167,36,0,97,190,212,196,128,122,84,227,124,186
v11,137,156,163,72,95,71,149,146,61,97,0,93,191,175,195,101,59,206,77,165
v12,164,177,224,37,8,164,242,225,154,190,93,0,238,196,288,174,106,195,66,116
v13,74,61,28,201,240,166,160,45,176,212,191,238,0,42,84,90,132,43,172,180
v14,38,19,28,159,198,150,144,29,160,196,175,196,42,0,92,74,116,31,130,138
v15,124,111,64,251,290,124,76,63,134,128,195,288,84,92,0,114,182,99,222,230
v16,36,55,62,137,176,76,70,51,86,122,101,174,90,74,114,0,68,105,108,116
v17,78,97,118,69,108,58,136,119,48,84,59,106,132,116,182,68,0,147,40,106
v18,69,50,43,158,197,181,175,60,191,227,206,195,43,31,99,105,147,0,129,137
v19,98,111,158,29,68,98,176,159,88,124,77,66,172,130,222,108,40,129,0,88
v20,106,119,166,93,124,140,184,167,150,186,165,116,180,138,230,116,106,137,88,0
