,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80
v1,0,25,42,13,40,43,40,37,8,33,28,56,26,41,39,24,23,32,36,24,58,28,20,47,52,31,11,17,49,25,16,42,71,39,61,30,46,56,25,40,29,38,38,21,9,10,27,49,51,11,12,6,41,26,40,48,46,62,19,18,64,16,25,10,42,27,27,59,47,24,28,40,71,44,66,6,34,39,22,48
v2,25,0,17,20,17,18,15,34,19,10,47,43,39,18,46,17,46,55,59,9,41,3,43,22,43,28,36,36,24,48,35,33,46,14,36,31,21,33,16,55,52,19,61,12,34,21,50,24,30,34,27,25,64,45,33,53,53,37,16,13,39,39,14,21,17,2,18,34,42,47,11,63,46,19,41,31,33,14,5,23
v3,42,17,0,29,34,5,22,17,34,27,30,26,22,35,29,18,29,38,42,18,24,18,32,25,26,11,53,25,7,33,26,16,29,11,19,14,28,16,17,38,35,4,44,21,51,38,33,7,13,43,30,36,47,28,16,36,36,20,33,24,22,36,17,32,32,15,15,17,25,30,28,46,29,20,24,48,16,19,22,6
v4,13,20,29,0,37,30,27,24,5,30,27,43,19,38,26,11,26,35,39,11,45,21,23,34,39,18,24,16,36,28,15,29,58,26,48,17,33,43,12,35,32,25,41,8,22,9,30,36,38,14,7,7,44,25,27,35,33,49,16,7,51,19,12,3,35,18,14,46,34,27,25,43,58,31,53,19,21,26,19,35
v5,40,17,34,37,0,29,12,51,36,7,64,60,56,3,63,34,63,72,76,26,58,16,60,17,60,45,41,53,33,65,52,50,47,23,31,48,16,50,33,72,69,36,78,29,43,30,67,37,47,51,44,42,81,62,50,70,70,32,21,30,42,56,31,38,12,19,35,51,59,64,16,80,41,14,36,42,50,15,18,30
v6,43,18,5,30,29,0,17,22,35,22,35,31,27,30,34,19,34,43,47,19,29,15,33,20,31,16,54,26,6,36,27,21,28,6,18,19,23,21,18,43,40,7,49,22,52,39,38,8,18,44,31,37,52,33,21,41,41,19,34,25,21,37,18,33,27,16,16,22,30,35,29,51,28,15,23,49,21,14,23,5
v7,40,15,22,27,12,17,0,39,32,13,52,48,44,13,51,22,51,60,64,16,46,12,48,7,48,33,51,41,21,53,40,38,35,11,21,36,6,38,21,60,57,24,66,19,49,36,55,25,35,41,32,34,69,50,38,58,58,22,31,22,30,44,19,30,10,13,23,39,47,52,26,68,31,4,26,46,38,3,20,18
v8,37,34,17,24,51,22,39,0,29,44,13,19,11,52,12,17,22,21,25,25,21,35,27,42,15,6,48,20,18,28,21,5,34,28,30,7,45,19,18,21,24,15,27,22,46,33,16,14,14,38,25,31,30,11,3,19,19,31,30,21,27,31,20,27,49,32,16,22,10,21,39,29,34,37,29,43,3,36,33,21
v9,8,19,34,5,36,35,32,29,0,29,28,48,20,37,31,16,27,36,40,16,50,20,24,39,44,23,19,17,41,29,16,34,63,31,53,22,38,48,17,36,33,30,42,13,17,6,31,41,43,15,8,6,45,26,32,40,38,54,15,10,56,20,17,2,34,19,19,51,39,28,24,44,63,36,58,14,26,31,18,40
v10,33,10,27,30,7,22,13,44,29,0,57,53,49,8,56,27,56,65,69,19,51,9,53,20,53,38,38,46,26,58,45,43,44,16,34,41,19,43,26,65,62,29,71,22,36,23,60,30,40,44,37,35,74,55,43,63,63,35,18,23,37,49,24,31,15,12,28,44,52,57,13,73,44,17,39,35,43,12,11,23
v11,28,47,30,27,64,35,52,13,28,57,0,28,8,65,11,30,13,8,12,38,30,48,18,55,24,19,39,11,31,19,12,14,43,41,43,16,58,28,31,12,15,28,14,35,37,34,7,27,23,29,20,22,17,2,14,20,18,44,43,34,36,22,33,26,62,45,29,31,19,12,52,16,43,50,40,34,14,49,46,34
v12,56,43,26,43,60,31,48,19,48,53,28,0,30,61,17,32,41,26,24,34,2,44,46,51,4,25,67,39,27,47,40,14,15,37,39,26,54,10,31,16,43,24,18,35,65,52,35,23,13,57,44,50,21,30,16,10,10,40,47,38,18,50,31,46,58,41,29,9,9,40,48,20,23,46,36,62,22,45,42,30
v13,26,39,22,19,56,27,44,11,20,49,8,30,0,57,13,22,11,16,20,30,32,40,16,47,26,11,37,9,23,17,10,16,45,33,35,8,50,30,23,16,13,20,22,27,35,26,11,23,25,27,14,20,25,6,14,22,20,36,35,26,38,20,25,18,54,37,21,33,21,10,44,24,45,42,40,32,8,41,38,26
v14,41,18,35,38,3,30,13,52,37,8,65,61,57,0,64,35,64,73,77,27,59,17,61,20,61,46,40,54,34,66,53,51,48,24,34,49,19,51,34,73,70,37,79,30,44,31,68,38,48,52,45,43,82,63,51,71,71,35,22,31,43,57,32,39,15,20,36,52,60,65,13,81,44,17,39,43,51,16,19,31
v15,39,46,29,26,63,34,51,12,31,56,11,17,13,64,0,29,24,9,13,37,19,47,29,54,13,18,50,22,30,30,23,13,32,40,42,15,57,17,30,9,26,27,15,34,48,35,18,26,16,40,27,33,18,13,13,9,7,43,42,33,25,33,32,29,61,44,28,20,8,23,51,17,32,49,39,45,13,48,45,33
v16,24,17,18,11,34,19,22,17,16,27,30,32,22,35,29,0,29,38,42,8,34,18,26,25,28,11,35,19,25,31,18,18,47,15,37,14,28,32,1,38,35,14,44,5,33,20,33,25,27,25,12,18,47,28,16,36,36,38,15,6,40,22,3,14,32,15,3,35,25,30,22,46,47,20,42,30,16,19,16,24
v17,23,46,29,26,63,34,51,22,27,56,13,41,11,64,24,29,0,15,17,37,43,47,5,54,37,18,26,10,34,6,11,27,56,40,46,15,57,41,30,25,6,27,23,34,24,33,6,34,36,16,19,21,22,11,25,33,31,47,42,33,49,9,32,25,61,44,28,44,32,1,51,25,56,49,51,21,19,48,45,33
v18,32,55,38,35,72,43,60,21,36,65,8,26,16,73,9,38,15,0,4,46,28,56,20,63,22,27,41,19,39,21,20,22,41,49,51,24,66,26,39,10,17,36,8,43,39,42,9,35,25,31,28,30,9,10,22,18,16,52,51,42,34,24,41,34,70,53,37,29,17,14,60,10,41,58,48,36,22,57,54,42
v19,36,59,42,39,76,47,64,25,40,69,12,24,20,77,13,42,17,4,0,50,26,60,22,67,20,31,43,23,43,23,24,26,39,53,55,28,70,26,43,8,19,40,6,47,41,46,11,39,29,33,32,34,5,14,26,16,14,56,55,46,34,26,45,38,74,57,41,27,17,16,64,8,39,62,52,38,26,61,58,46
v20,24,9,18,11,26,19,16,25,16,19,38,34,30,27,37,8,37,46,50,0,34,10,34,23,34,19,35,27,25,39,26,24,47,15,37,22,22,32,7,46,43,14,52,3,33,20,41,25,27,25,18,18,55,36,24,44,44,38,15,6,40,30,5,14,24,7,9,35,33,38,14,54,47,20,42,30,24,15,8,24
v21,58,41,24,45,58,29,46,21,50,51,30,2,32,59,19,34,43,28,26,34,0,42,48,49,6,27,69,41,25,49,42,16,13,35,37,28,52,8,33,18,45,22,20,37,67,54,37,21,11,59,46,52,23,32,18,12,12,38,49,40,16,52,33,48,56,39,31,7,11,42,46,22,21,44,34,64,24,43,40,28
v22,28,3,18,21,16,15,12,35,20,9,48,44,40,17,47,18,47,56,60,10,42,0,44,19,44,29,39,37,21,49,36,34,43,11,33,32,18,34,17,56,53,20,62,13,37,24,51,21,31,35,28,26,65,46,34,54,54,34,19,14,36,40,15,22,14,3,19,35,43,48,14,64,43,16,38,34,34,11,8,20
v23,20,43,32,23,60,33,48,27,24,53,18,46,16,61,29,26,5,20,22,34,48,44,0,51,42,21,21,7,39,5,8,32,61,37,51,20,54,46,27,30,9,28,28,31,19,30,11,39,41,11,16,18,27,16,30,38,36,52,39,30,54,4,29,22,58,41,25,49,37,6,48,30,61,46,56,18,24,45,42,38
v24,47,22,25,34,17,20,7,42,39,20,55,51,47,20,54,25,54,63,67,23,49,19,51,0,51,36,58,44,24,56,43,41,38,14,14,39,3,41,24,63,60,27,69,26,56,43,58,28,38,48,35,41,72,53,41,61,61,15,38,29,33,47,22,37,7,20,26,42,50,55,33,71,28,5,19,53,41,8,27,21
v25,52,43,26,39,60,31,48,15,44,53,24,4,26,61,13,28,37,22,20,34,6,44,42,51,0,21,63,35,27,43,36,10,19,37,39,22,54,10,27,12,39,24,18,31,61,48,31,23,13,53,40,46,21,26,12,10,10,40,43,34,18,46,29,42,58,41,25,9,5,36,48,20,23,46,36,58,18,45,42,30
