,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80
v1,0,10,30,22,6,23,46,9,15,49,13,47,49,38,23,19,14,32,47,48,31,10,4,54,26,16,25,10,29,17,57,13,15,11,21,12,34,42,48,26,62,26,63,63,7,47,44,65,19,28,16,27,31,28,50,35,18,52,44,6,32,30,20,31,55,64,48,25,33,27,24,16,61,24,28,42,21,41,12,40
v2,10,0,32,16,16,13,40,3,19,39,9,37,39,32,13,27,8,26,37,42,35,4,6,48,20,10,19,4,23,11,47,23,25,21,15,16,26,36,38,16,56,24,57,57,15,41,38,59,25,22,6,21,25,18,44,29,16,46,38,12,26,24,14,21,45,58,42,15,27,17,22,8,55,14,38,36,23,35,8,34
v3,30,32,0,18,30,45,28,31,43,71,23,69,71,44,45,11,26,38,69,40,3,28,28,58,32,22,25,30,15,37,79,21,15,23,31,40,56,20,70,48,48,8,43,33,23,65,20,43,11,12,38,47,51,50,60,19,40,60,52,24,24,22,40,53,77,40,38,47,5,49,10,38,41,46,6,16,47,31,24,30
v4,22,16,18,0,22,27,24,19,35,53,9,51,53,26,27,13,8,20,51,26,21,12,20,40,14,6,7,12,7,19,61,13,11,15,13,32,38,20,52,32,40,10,41,41,15,47,22,43,11,6,20,29,33,32,42,13,32,42,34,16,10,8,22,35,59,42,26,29,13,31,8,20,39,28,24,20,39,19,10,18
v5,6,16,30,22,0,29,46,15,21,55,13,53,55,38,29,19,14,32,53,48,31,12,10,54,26,16,25,14,29,21,63,9,15,7,21,18,40,42,54,32,62,26,63,63,7,49,44,65,19,28,22,31,35,34,50,35,24,52,44,6,32,30,24,37,61,64,48,31,33,33,24,22,61,30,24,42,27,41,12,40
v6,23,13,45,27,29,0,33,14,26,26,22,24,26,25,10,40,19,19,24,35,48,17,19,41,13,23,20,15,30,8,34,36,38,34,14,23,19,29,25,23,49,37,50,50,28,34,31,52,38,33,9,14,18,19,37,26,23,39,31,25,21,23,7,10,32,51,35,10,40,10,35,7,48,11,51,29,30,28,21,27
v7,46,40,28,24,46,33,0,43,59,43,33,41,43,16,43,27,32,14,41,12,31,36,44,30,20,30,21,36,17,29,51,37,31,39,25,56,28,8,42,56,20,20,17,17,39,37,8,19,27,18,42,19,23,52,32,11,56,32,24,40,14,16,26,25,49,18,10,43,23,43,22,32,15,44,34,12,63,5,34,6
v8,9,3,31,19,15,14,43,0,16,40,10,38,40,35,14,26,11,29,38,45,34,7,5,51,23,13,22,7,26,14,48,22,24,20,18,13,29,39,39,17,59,23,60,60,14,44,41,62,24,25,7,24,28,19,47,32,13,49,41,11,29,27,17,22,46,61,45,16,30,18,21,11,58,15,37,39,20,38,9,37
v9,15,19,43,35,21,26,59,16,0,36,26,48,44,51,16,32,27,45,32,61,44,23,15,67,39,29,38,23,42,30,42,28,30,26,34,3,45,55,33,11,75,39,76,76,20,60,57,78,32,41,17,40,44,13,63,48,3,65,57,19,45,43,33,36,40,77,61,16,46,16,37,27,74,15,43,55,6,54,25,53
v10,49,39,71,53,55,26,43,40,36,0,48,12,8,27,26,66,45,33,4,31,74,43,45,31,39,49,46,41,56,34,8,62,64,60,40,37,15,51,9,33,39,63,40,42,54,24,51,42,64,59,33,24,20,29,27,52,33,29,21,51,47,49,31,18,6,41,33,24,66,22,61,33,38,25,77,55,40,40,47,41
