,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80
v1,0,37,18,29,10,11,33,6,33,42,23,28,19,18,13,2,31,42,31,64,51,34,50,25,61,56,21,58,29,18,22,38,15,39,38,54,54,27,52,25,63,23,39,31,48,43,44,56,24,55,25,15,45,13,49,11,50,56,34,19,61,50,32,50,17,26,54,53,43,53,42,23,68,30,16,28,17,38,36,6
v2,37,0,19,28,29,36,34,37,34,43,60,21,30,25,30,39,6,25,24,27,52,17,13,26,62,23,16,59,24,49,15,5,28,42,29,17,27,12,53,52,30,60,40,18,15,6,45,27,13,34,20,44,44,26,14,48,51,57,47,56,62,25,5,51,36,27,55,16,44,28,43,22,69,11,53,29,42,39,37,43
v3,18,19,0,11,10,17,15,18,15,24,41,10,11,6,11,20,15,24,13,46,33,36,32,7,43,38,29,40,11,30,30,20,33,23,20,36,36,9,34,33,45,41,21,13,30,25,26,38,10,37,7,25,27,7,31,29,32,38,28,37,43,32,20,32,17,8,36,35,25,35,24,41,50,12,34,10,23,20,18,24
v4,29,28,11,0,21,28,10,29,8,33,52,7,22,17,22,31,24,13,4,35,24,45,29,16,34,27,38,31,4,41,39,23,42,34,9,25,25,16,25,44,34,52,28,10,19,24,21,27,19,26,8,36,16,18,20,40,23,29,39,48,34,21,29,23,28,7,27,26,28,24,25,50,41,17,45,21,34,11,13,35
v5,10,29,10,21,0,7,23,8,23,32,31,20,9,8,3,10,23,34,23,56,41,28,42,15,51,48,21,48,21,20,22,30,25,29,30,46,46,19,42,23,55,31,29,23,40,35,34,48,16,47,17,15,37,3,41,19,40,46,24,27,51,42,24,40,7,16,44,45,33,45,32,33,58,22,24,18,13,28,26,14
v6,11,36,17,28,7,0,22,5,22,31,24,27,8,11,6,9,30,41,30,63,40,33,49,14,50,55,22,47,28,13,23,37,26,28,37,53,53,26,41,16,62,24,28,30,47,42,33,55,23,54,24,8,44,10,48,12,39,45,23,20,50,49,31,39,6,21,43,52,32,52,31,34,57,29,17,17,6,27,25,7
v7,33,34,15,10,23,22,0,27,2,23,42,13,14,15,20,31,30,23,12,45,18,51,35,8,28,37,44,25,10,31,45,29,48,24,19,35,35,22,19,34,44,42,18,16,29,30,11,37,25,36,14,26,26,20,30,30,17,23,29,38,28,31,35,17,18,7,21,34,18,34,15,56,35,23,35,11,24,9,3,27
v8,6,37,18,29,8,5,27,0,27,36,23,28,13,12,7,4,31,42,31,64,45,34,50,19,55,56,21,52,29,12,22,38,21,33,38,54,54,27,46,19,63,23,33,31,48,43,38,56,24,55,25,9,45,11,49,11,44,50,28,19,55,50,32,44,11,22,48,53,37,53,36,29,62,30,16,22,11,32,30,6
v9,33,34,15,8,23,22,2,27,0,25,44,13,14,15,20,31,30,21,10,43,18,51,35,8,28,35,44,25,10,33,45,29,48,26,17,33,33,22,19,36,42,44,20,16,27,30,13,35,25,34,14,28,24,20,28,32,17,23,31,40,28,29,35,17,20,7,21,32,20,32,17,56,35,23,37,13,26,7,5,27
v10,42,43,24,33,32,31,23,36,25,0,25,32,23,24,29,40,39,46,35,68,13,60,54,17,25,60,53,28,33,24,54,42,57,3,42,58,58,31,42,17,67,23,5,35,52,47,12,60,34,59,29,27,49,29,53,31,18,20,8,23,23,54,44,22,25,26,42,57,5,57,8,65,28,34,30,14,25,32,20,36
v11,23,60,41,52,31,24,42,23,44,25,0,51,30,35,30,21,54,65,54,87,34,57,73,36,44,79,44,47,52,11,45,61,32,22,61,77,77,50,61,8,86,2,24,54,71,66,31,79,47,78,48,16,68,34,72,12,37,39,17,4,44,73,55,41,24,45,61,76,26,76,27,46,51,53,7,31,18,51,39,17
