,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80
v1,0,29,24,22,23,34,20,9,28,27,30,27,39,12,9,17,31,16,25,37,20,18,36,21,37,27,4,32,23,18,17,29,16,16,26,23,25,32,17,21,22,18,29,35,25,31,20,29,18,32,15,13,18,27,14,33,7,19,26,8,31,29,29,29,21,22,12,15,21,21,18,23,27,38,18,22,41,47,18,23
v2,29,0,41,49,52,45,23,38,43,56,59,56,24,31,20,24,44,45,12,8,41,47,41,38,14,16,25,49,52,47,46,46,43,33,43,10,46,61,16,16,47,19,46,64,42,46,49,30,21,21,32,30,11,36,43,50,32,24,31,21,12,46,22,42,50,23,33,16,38,8,33,52,56,15,17,51,70,32,47,52
v3,24,41,0,46,35,58,20,27,52,27,30,27,63,36,33,41,55,20,49,37,44,42,60,17,37,51,22,8,23,26,33,13,40,8,4,31,17,32,25,45,46,22,5,35,13,55,32,53,20,56,39,37,34,27,28,9,31,43,26,28,31,5,53,53,29,46,36,39,7,41,18,39,27,38,42,32,41,71,18,23
v4,22,49,46,0,11,12,40,19,6,29,16,47,25,18,29,25,9,26,37,57,8,4,14,43,57,33,24,54,43,20,13,51,6,38,48,43,47,38,37,33,2,38,51,27,47,9,14,19,38,28,17,19,38,47,18,55,17,25,46,28,51,51,27,7,17,26,16,33,43,41,38,7,45,58,32,14,21,25,32,35
v5,23,52,35,11,0,23,43,14,17,18,7,36,28,21,32,28,20,15,40,60,11,7,25,40,60,36,27,43,32,9,6,40,9,31,37,46,36,27,40,36,11,41,40,16,36,20,3,22,41,31,20,22,41,50,9,44,20,28,49,31,54,40,30,18,6,29,19,36,32,44,41,4,34,61,35,3,18,36,21,24
v6,34,45,58,12,23,0,40,31,6,41,28,59,21,22,25,21,3,38,33,53,14,16,4,55,53,29,36,66,55,32,25,63,18,50,60,39,59,50,33,29,12,36,63,39,59,3,26,15,38,24,19,21,34,53,30,67,27,21,48,30,47,63,23,5,29,22,22,29,55,37,50,19,57,54,28,26,31,13,44,47
v7,20,23,20,40,43,40,0,29,34,47,50,47,45,22,15,23,37,36,31,17,32,38,42,15,17,33,16,26,43,38,37,23,34,12,24,13,37,52,7,27,38,4,23,55,19,37,40,35,2,38,23,21,16,13,34,27,23,25,8,12,11,23,35,35,41,28,24,21,15,23,10,43,47,18,24,42,61,53,38,43
v8,9,38,27,19,14,31,29,0,25,18,21,28,36,9,18,14,28,7,26,46,17,15,33,26,46,24,13,35,24,9,8,32,13,19,29,32,28,23,26,22,19,27,32,26,28,28,11,26,27,29,12,10,27,36,5,36,6,16,35,17,40,32,26,26,12,19,9,22,24,30,27,14,26,47,21,13,32,44,13,16
v9,28,43,52,6,17,6,34,25,0,35,22,53,19,16,23,19,3,32,31,51,8,10,8,49,51,27,30,60,49,26,19,57,12,44,54,37,53,44,31,27,6,32,57,33,53,3,20,13,32,22,13,15,32,47,24,61,21,19,42,24,45,57,21,1,23,20,16,27,49,35,44,13,51,52,26,20,27,19,38,41
v10,27,56,27,29,18,41,47,18,35,0,13,18,46,25,36,32,38,11,44,64,27,25,43,44,64,40,31,35,14,9,16,40,23,35,23,50,18,9,44,40,29,45,26,8,40,38,15,36,45,39,24,26,45,54,13,36,24,32,53,35,58,24,36,36,12,33,23,40,34,48,45,22,16,65,39,15,14,54,9,6
