,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80
v1,0,21,46,53,40,46,29,17,48,41,24,46,27,41,21,32,48,34,30,16,11,13,47,65,57,22,26,22,9,33,26,45,27,49,42,28,31,41,6,64,40,39,8,36,15,28,72,22,57,48,36,12,24,17,17,20,36,34,45,14,31,45,38,17,11,59,48,60,26,20,10,46,39,22,10,38,45,10,47,27
v2,21,0,27,42,29,31,30,10,27,30,27,25,30,20,36,13,37,37,9,19,10,10,26,44,36,7,13,11,20,18,5,28,24,30,27,35,10,30,21,43,19,18,17,15,20,11,51,11,36,27,17,23,35,28,4,41,15,23,24,35,20,34,27,8,16,48,37,39,37,5,11,35,34,33,23,17,24,31,26,8
v3,46,27,0,27,20,4,57,35,22,13,52,10,57,33,61,40,30,64,24,44,37,35,27,29,11,24,20,38,47,45,30,55,51,3,4,62,17,23,46,24,38,29,42,26,45,18,26,24,19,42,10,50,62,53,29,66,38,30,11,60,17,15,36,33,41,21,32,28,64,32,36,8,61,60,48,26,31,56,23,35
v4,53,42,27,0,13,27,72,36,37,14,29,27,72,48,34,55,5,79,39,37,52,40,42,46,38,35,29,53,62,60,45,70,66,30,23,77,32,12,47,45,53,44,45,41,38,31,53,31,38,57,25,65,77,36,38,39,53,19,26,47,22,12,15,36,42,8,5,43,79,47,49,21,76,75,43,41,46,47,38,50
v5,40,29,20,13,0,20,59,23,24,7,32,20,59,35,41,42,10,66,26,24,39,27,29,39,31,22,16,40,49,47,32,57,53,23,16,64,19,3,34,38,40,31,32,28,25,18,46,18,31,44,12,52,64,33,25,46,40,10,19,40,9,5,16,23,29,19,12,34,66,34,36,14,63,62,30,28,33,36,25,37
v6,46,31,4,27,20,0,61,35,26,13,52,14,61,37,61,44,30,68,28,44,41,35,31,33,15,24,20,42,51,49,34,59,55,3,4,66,21,23,46,28,42,33,42,30,45,20,26,24,23,46,14,54,66,53,29,66,42,30,15,60,17,15,36,33,41,19,32,32,68,36,38,6,65,64,48,30,35,56,27,39
v7,29,30,57,72,59,61,0,36,35,60,43,47,2,24,44,17,67,7,33,35,20,32,30,36,46,37,43,19,20,12,27,16,6,60,57,5,40,60,29,35,19,28,27,31,34,41,43,41,38,19,47,23,11,36,34,49,19,53,46,43,50,64,57,36,30,78,67,31,9,25,23,65,10,13,31,31,26,39,34,22
v8,17,10,35,36,23,35,36,0,37,24,17,35,36,30,26,21,31,43,19,9,16,4,36,54,46,11,15,17,26,24,15,34,30,38,31,41,20,24,11,53,29,28,9,25,10,17,61,11,46,37,25,29,41,18,6,31,25,17,34,25,18,28,21,2,6,42,31,49,43,11,13,29,40,39,13,27,34,21,36,16
v9,48,27,22,37,24,26,35,37,0,25,54,12,35,11,63,18,32,42,18,46,37,37,5,17,11,26,22,26,39,23,22,33,29,25,22,40,17,25,48,16,16,9,44,12,47,20,24,26,9,20,12,42,40,55,31,68,16,32,11,62,19,29,38,35,43,43,34,12,42,28,38,30,39,38,50,10,9,58,1,21
v10,41,30,13,14,7,13,60,24,25,0,39,13,60,36,48,43,17,67,27,31,40,28,30,32,24,23,17,41,50,48,33,58,54,16,9,65,20,10,35,31,41,32,33,29,32,19,39,19,24,45,13,53,65,40,26,53,41,17,14,47,10,4,23,24,30,18,19,31,67,35,37,7,64,63,35,29,34,43,26,38
