,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80
v1,0,27,49,25,4,52,24,33,19,25,8,9,10,16,56,52,62,49,28,29,10,23,56,11,31,39,20,31,8,61,19,71,23,27,45,39,25,51,16,40,40,22,52,59,29,34,34,34,10,15,14,63,48,49,48,8,4,21,30,6,40,33,15,37,29,34,21,46,24,25,53,68,20,53,42,29,13,60,23,46
v2,27,0,52,20,29,47,3,56,24,34,27,18,25,11,51,47,57,44,11,22,35,4,51,38,48,34,47,26,19,56,46,66,18,40,40,24,2,24,11,67,35,17,47,54,52,55,61,29,37,22,39,58,47,22,43,35,23,16,41,33,35,6,36,32,56,19,34,41,19,2,48,63,7,48,53,2,14,55,10,41
v3,49,52,0,48,53,19,49,16,30,24,57,54,39,49,15,13,41,46,53,54,39,48,17,50,18,28,41,52,43,38,30,40,46,22,52,64,50,76,41,15,45,37,35,34,20,15,17,43,47,34,35,34,5,74,45,41,47,46,19,45,43,58,34,30,26,59,28,35,35,50,46,37,45,48,7,54,54,35,48,65
v4,25,20,48,0,29,29,17,52,20,30,33,30,21,25,33,35,37,24,9,6,31,22,31,34,44,20,43,6,19,36,42,46,2,36,20,16,18,28,9,63,15,11,27,34,48,51,57,9,33,18,35,38,43,26,23,31,23,4,37,29,15,16,32,18,52,11,30,21,13,22,28,43,13,28,49,18,30,35,10,21
v5,4,29,53,29,0,56,26,37,23,29,4,11,14,18,60,56,66,53,30,31,14,25,60,9,35,43,18,35,10,65,23,75,27,31,49,41,27,53,20,38,44,26,56,63,33,38,36,38,8,19,18,67,52,51,52,12,6,25,34,8,44,35,19,41,27,36,25,50,28,27,57,72,22,57,46,31,15,64,25,50
v6,52,47,19,29,56,0,44,23,33,27,60,57,42,52,4,6,22,27,36,35,42,49,4,53,21,13,44,33,46,19,33,21,29,25,33,45,45,57,36,34,26,30,16,15,23,22,28,24,50,37,38,15,14,55,26,44,50,31,22,48,24,43,37,15,29,40,31,16,28,49,27,18,40,29,20,45,57,16,37,46
v7,24,3,49,17,26,44,0,53,21,31,24,15,22,8,48,44,54,41,8,19,32,5,48,35,45,31,44,23,16,53,43,63,15,37,37,21,1,27,8,64,32,14,44,51,49,52,58,26,34,19,36,55,44,25,40,32,20,13,38,30,32,9,33,29,53,16,31,38,16,5,45,60,4,45,50,5,13,52,7,38
v8,33,56,16,52,37,23,53,0,32,22,41,38,31,45,23,19,45,50,57,58,23,52,23,34,8,32,25,56,37,42,14,44,50,16,56,68,54,80,45,11,49,41,39,38,4,1,5,47,31,34,19,38,15,78,49,25,33,50,15,29,47,62,20,34,10,63,22,39,39,54,50,41,49,52,9,58,42,39,52,69
v9,19,24,30,20,23,33,21,32,0,10,27,24,9,19,37,33,43,30,25,26,11,20,37,20,24,20,23,24,13,42,22,52,18,16,26,36,22,48,13,43,21,9,33,40,28,31,37,15,17,4,15,44,29,46,29,11,17,18,17,15,21,30,12,18,32,31,10,27,7,22,34,49,17,34,29,26,24,41,20,37
v10,25,34,24,30,29,27,31,22,10,0,33,30,15,25,31,27,37,28,35,36,15,30,31,26,14,14,17,34,19,36,12,46,28,6,34,46,32,58,23,33,27,19,27,34,18,21,27,25,23,12,11,38,23,56,27,17,23,28,7,21,25,40,10,12,22,41,4,21,17,32,28,43,27,30,19,36,30,35,30,47
v11,8,27,57,33,4,60,24,41,27,33,0,9,18,16,64,60,70,57,28,35,18,23,64,11,39,47,20,39,14,69,27,79,31,35,53,39,25,51,24,42,48,30,60,67,37,42,40,42,10,23,22,71,56,49,56,16,10,29,38,12,48,33,23,45,31,34,29,54,32,25,61,76,20,61,50,29,13,68,23,54
v12,9,18,54,30,11,57,15,38,24,30,9,0,15,7,61,57,67,54,21,32,17,14,61,20,36,44,29,36,11,66,28,76,28,32,50,34,16,42,21,49,45,27,57,64,34,39,43,39,19,20,21,68,53,40,53,17,7,26,35,15,45,24,20,42,38,29,26,51,29,16,58,73,17,58,47,20,4,65,20,51
v13,10,25,39,21,14,42,22,31,9,15,18,15,0,14,46,42,52,39,26,27,10,21,46,13,23,29,22,25,6,51,21,61,19,17,35,37,23,49,14,42,30,12,42,49,27,30,36,24,12,5,14,53,38,47,38,10,8,19,20,8,30,31,11,27,31,32,11,36,14,23,43,58,18,43,32,27,15,50,21,38
v14,16,11,49,25,18,52,8,45,19,25,16,7,14,0,56,52,62,49,16,27,24,7,56,27,37,39,36,31,8,61,35,71,23,29,45,29,9,35,16,56,40,22,52,59,41,44,50,34,26,15,28,63,48,33,48,24,12,21,30,22,40,17,25,37,45,24,23,46,24,9,53,68,12,53,42,13,5,60,15,46
v15,56,51,15,33,60,4,48,23,37,31,64,61,46,56,0,4,26,31,40,39,46,53,2,57,25,17,48,37,50,23,37,25,33,29,37,49,49,61,40,30,30,34,20,19,27,22,24,28,54,41,42,19,10,59,30,48,54,35,26,52,28,47,41,19,33,44,35,20,32,53,31,22,44,33,16,49,61,20,41,50
v16,52,47,13,35,56,6,44,19,33,27,60,57,42,52,4,0,28,33,40,41,42,49,4,53,21,15,44,39,46,25,33,27,33,25,39,51,45,63,36,28,32,30,22,21,23,18,22,30,50,37,38,21,8,61,32,44,50,33,22,48,30,45,37,17,29,46,31,22,28,49,33,24,40,35,14,45,57,22,37,52
v17,62,57,41,37,66,22,54,45,43,37,70,67,52,62,26,28,0,13,46,35,52,59,24,63,37,23,54,31,56,3,43,9,39,35,17,33,55,35,46,56,22,40,10,7,41,44,50,28,60,47,48,7,36,35,14,54,60,41,32,58,22,53,47,25,45,38,41,16,38,59,9,6,50,9,42,55,67,6,47,24
v18,49,44,46,24,53,27,41,50,30,28,57,54,39,49,31,33,13,0,33,22,39,46,29,50,42,18,41,18,43,12,40,22,26,34,6,20,42,30,33,61,9,27,11,12,46,49,55,15,47,34,35,14,41,28,1,41,47,28,35,45,9,40,34,16,50,25,28,11,25,46,4,19,37,4,47,42,54,11,34,19
v19,28,11,53,9,30,36,8,57,25,35,28,21,26,16,40,40,46,33,0,11,36,13,40,39,49,25,48,15,20,45,47,55,7,41,29,13,9,23,12,68,24,16,36,43,53,56,62,18,38,23,40,47,48,21,32,36,24,7,42,34,24,7,37,23,57,8,35,30,18,13,37,52,8,37,54,9,21,44,5,30
v20,29,22,54,6,31,35,19,58,26,36,35,32,27,27,39,41,35,22,11,0,37,24,37,40,50,26,49,4,21,34,48,44,8,42,18,10,20,22,13,69,13,17,25,32,54,57,63,11,39,24,41,36,49,20,21,37,25,8,43,35,13,18,38,24,58,5,36,19,19,24,26,41,15,26,55,20,32,33,12,19
v21,10,35,39,31,14,42,32,23,11,15,18,17,10,24,46,42,52,39,36,37,0,31,46,11,21,29,12,35,16,51,11,61,29,17,35,47,33,59,24,32,30,20,42,49,19,24,26,26,8,13,4,53,38,57,38,2,12,29,20,6,30,41,5,27,21,42,11,36,18,33,43,58,28,43,32,37,21,50,31,48
v22,23,4,48,22,25,49,5,52,20,30,23,14,21,7,53,49,59,46,13,24,31,0,53,34,44,36,43,28,15,58,42,68,20,36,42,26,4,28,13,63,37,19,49,56,48,51,57,31,33,18,35,60,45,26,45,31,19,18,37,29,37,10,32,34,52,21,30,43,21,2,50,65,9,50,49,6,10,57,12,43
v23,56,51,17,31,60,4,48,23,37,31,64,61,46,56,2,4,24,29,40,37,46,53,0,57,25,17,48,35,50,21,37,23,33,29,35,47,49,59,40,32,28,34,18,17,27,22,26,26,54,41,42,17,12,57,28,48,54,35,26,52,26,47,41,19,33,42,35,18,32,53,29,20,44,31,18,49,61,18,41,48
v24,11,38,50,34,9,53,35,34,20,26,11,20,13,27,57,53,63,50,39,40,11,34,57,0,32,40,9,38,19,62,20,72,32,28,46,50,36,62,27,35,41,23,53,60,30,35,33,35,3,16,15,64,49,60,49,9,15,32,31,5,41,44,16,38,24,45,22,47,25,36,54,69,31,54,43,40,24,61,34,51
v25,31,48,18,44,35,21,45,8,24,14,39,36,23,37,25,21,37,42,49,50,21,44,25,32,0,24,23,48,29,34,12,40,42,8,48,60,46,72,37,19,41,33,31,30,4,7,13,39,29,26,17,32,17,70,41,23,29,42,7,27,39,54,16,26,8,55,14,31,31,46,42,37,41,44,11,50,36,31,44,61
v26,39,34,28,20,43,13,31,32,20,14,47,44,29,39,17,15,23,18,25,26,29,36,17,40,24,0,31,24,33,22,22,32,18,16,24,36,32,48,23,43,17,17,13,20,28,31,37,15,37,24,25,24,23,46,17,31,37,18,17,35,15,30,24,2,32,31,18,7,15,36,18,29,27,20,29,32,44,21,24,37
v27,20,47,41,43,18,44,44,25,23,17,20,29,22,36,48,44,54,41,48,49,12,43,48,9,23,31,0,47,28,53,11,63,41,19,47,59,45,71,36,26,40,32,44,51,21,26,24,38,10,25,8,55,40,69,40,12,24,41,22,14,38,53,11,29,15,54,13,38,30,45,45,60,40,45,34,49,33,52,43,60
v28,31,26,52,6,35,33,23,56,24,34,39,36,25,31,37,39,31,18,15,4,35,28,35,38,48,24,47,0,25,30,46,40,8,40,14,12,24,24,15,67,9,15,21,28,52,55,61,9,37,22,39,32,47,22,17,35,29,10,41,33,9,22,36,22,56,7,34,17,17,28,22,37,19,22,53,24,36,29,16,15
v29,8,19,43,19,10,46,16,37,13,19,14,11,6,8,50,46,56,43,20,21,16,15,50,19,29,33,28,25,0,55,27,65,17,21,39,31,17,43,10,48,34,16,46,53,33,36,42,28,18,9,20,57,42,41,42,16,4,15,24,14,34,25,17,31,37,26,15,40,18,17,47,62,12,47,36,21,11,54,15,40
v30,61,56,38,36,65,19,53,42,42,36,69,66,51,61,23,25,3,12,45,34,51,58,21,62,34,22,53,30,55,0,42,10,38,34,16,32,54,38,45,53,21,39,9,4,38,41,47,27,59,46,47,4,33,36,13,53,59,40,31,57,21,52,46,24,42,37,40,15,37,58,8,7,49,10,39,54,66,3,46,27
v31,19,46,30,42,23,33,43,14,22,12,27,28,21,35,37,33,43,40,47,48,11,42,37,20,12,22,11,46,27,42,0,52,40,8,46,58,44,70,35,21,39,31,33,40,10,15,15,37,17,24,7,44,29,68,39,11,23,40,11,15,37,52,10,24,10,53,12,29,29,44,40,49,39,42,23,48,32,41,42,59
v32,71,66,40,46,75,21,63,44,52,46,79,76,61,71,25,27,9,22,55,44,61,68,23,72,40,32,63,40,65,10,52,0,48,44,26,42,64,42,55,55,31,49,19,12,42,43,49,37,69,56,57,8,35,44,23,63,69,50,41,67,31,62,56,34,48,47,50,25,47,68,18,3,59,18,41,64,76,11,56,25
v33,23,18,46,2,27,29,15,50,18,28,31,28,19,23,33,33,39,26,7,8,29,20,33,32,42,18,41,8,17,38,40,48,0,34,22,18,16,30,7,61,17,9,29,36,46,49,55,11,31,16,33,40,41,28,25,29,21,2,35,27,17,14,30,16,50,13,28,23,11,20,30,45,11,30,47,16,28,37,8,23
v34,27,40,22,36,31,25,37,16,16,6,35,32,17,29,29,25,35,34,41,42,17,36,29,28,8,16,19,40,21,34,8,44,34,0,40,52,38,64,29,27,33,25,25,32,12,15,21,31,25,18,13,36,21,62,33,19,25,34,3,23,31,46,12,18,16,47,6,23,23,38,34,41,33,36,15,42,32,33,36,53
v35,45,40,52,20,49,33,37,56,26,34,53,50,35,45,37,39,17,6,29,18,35,42,35,46,48,24,47,14,39,16,46,26,22,40,0,16,38,24,29,67,7,23,17,18,52,55,61,11,43,30,39,18,47,22,7,37,43,24,41,41,9,36,36,22,56,21,34,17,21,42,8,23,33,8,53,38,50,17,30,13
