,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80
v1,0,33,16,35,29,17,6,26,48,10,56,17,28,17,34,22,13,9,46,38,30,47,10,27,32,4,28,16,43,36,11,15,33,25,30,45,33,23,15,49,26,7,58,3,28,41,48,9,36,11,35,32,37,34,49,13,21,55,11,53,22,19,14,30,44,25,27,16,46,42,31,8,45,32,10,15,57,14,29,66
v2,33,0,17,22,24,36,37,33,55,43,23,50,35,26,41,37,36,42,13,45,37,14,43,14,39,29,17,21,10,39,22,48,40,32,63,16,2,10,42,28,19,30,25,36,35,8,21,34,11,22,18,35,36,27,24,28,44,24,34,20,55,40,19,21,51,58,34,43,53,9,24,31,12,3,31,38,24,47,36,33
v3,16,17,0,19,29,19,20,26,48,26,40,33,28,17,34,22,19,25,30,38,30,31,26,11,32,12,12,16,27,32,5,31,33,25,46,29,17,17,25,33,26,13,42,19,28,25,32,17,20,11,19,28,29,20,33,13,27,39,17,37,38,23,12,14,44,41,27,26,46,26,31,14,29,16,14,21,41,30,29,50
v4,35,22,19,0,44,38,39,35,33,45,21,52,25,28,29,39,38,44,21,23,23,16,45,8,17,31,7,31,26,17,24,50,18,24,65,10,20,32,44,14,41,32,23,38,37,30,13,36,11,26,4,13,14,5,14,30,46,20,36,24,57,42,27,5,29,60,24,45,31,29,46,33,22,25,33,40,22,49,34,31
v5,29,24,29,44,0,46,23,55,77,31,47,34,57,46,63,51,16,20,37,67,59,38,27,36,61,25,39,13,34,61,28,32,62,54,39,38,24,14,44,50,15,22,49,30,57,32,43,38,33,18,40,57,58,49,46,42,50,46,40,44,43,48,17,43,73,34,56,45,75,33,6,37,36,23,39,44,48,41,58,57
v6,17,36,19,38,46,0,23,9,31,15,59,14,13,10,17,5,30,26,49,23,15,50,19,30,33,21,31,33,46,39,18,14,22,14,27,48,36,34,6,52,43,24,61,16,11,44,51,8,39,28,38,35,40,37,52,8,8,58,6,56,19,4,29,33,27,22,14,7,29,45,48,9,48,35,7,2,60,11,12,69
v7,6,37,20,39,23,23,0,32,54,8,60,13,34,23,40,28,7,5,50,44,36,51,6,31,38,8,32,16,47,40,15,11,39,31,26,49,37,27,21,53,28,7,62,7,34,45,52,15,40,15,39,36,41,38,53,19,27,59,17,57,20,25,18,34,50,21,33,22,52,46,25,14,49,36,16,21,61,18,35,70
v8,26,33,26,35,55,9,32,0,24,24,56,21,10,9,8,4,39,35,46,20,12,47,28,27,30,30,28,42,43,36,27,23,19,11,30,45,33,43,11,49,52,33,58,25,2,41,48,17,36,37,35,32,37,34,49,13,11,55,15,53,22,7,38,30,20,25,11,10,20,42,57,18,45,36,16,11,57,14,3,66
v9,48,55,48,33,77,31,54,24,0,46,38,43,20,31,18,28,61,57,54,10,18,49,50,41,16,52,38,64,59,16,49,45,15,23,54,39,53,65,33,27,74,55,34,47,26,63,34,39,44,59,37,20,19,28,31,35,35,31,37,57,46,31,60,34,4,49,21,34,6,62,79,40,55,58,38,33,41,38,23,42
v10,10,43,26,45,31,15,8,24,46,0,66,7,26,17,32,20,15,11,56,36,28,57,4,37,40,14,38,22,53,46,21,5,31,23,20,55,43,33,13,59,34,13,68,7,26,51,58,9,46,21,45,42,47,44,59,15,19,65,9,63,12,17,24,40,42,15,25,14,44,52,33,12,55,42,12,13,67,10,27,76
v11,56,23,40,21,47,59,60,56,38,66,0,73,46,49,50,60,59,65,16,36,44,11,66,29,26,52,28,44,21,22,45,71,37,45,86,11,23,33,65,11,36,53,6,59,58,25,8,57,20,45,21,24,19,22,7,51,67,7,57,19,78,63,42,26,36,81,45,66,38,24,41,54,17,24,54,61,3,70,55,10
v12,17,50,33,52,34,14,13,21,43,7,73,0,27,24,29,17,18,14,63,37,29,64,7,44,47,21,45,29,60,53,28,2,36,28,13,62,50,40,10,66,41,20,75,14,23,58,65,16,53,28,52,49,54,51,66,22,16,72,16,70,9,14,31,47,39,8,28,11,41,59,36,19,62,49,19,12,74,7,24,83
v13,28,35,28,25,57,13,34,10,20,26,46,27,0,11,6,14,41,37,36,10,2,37,30,21,20,32,18,44,39,26,29,25,9,3,40,35,33,45,19,39,54,35,48,27,12,43,38,19,26,39,25,22,27,24,39,15,21,45,17,43,32,17,40,20,16,35,1,20,18,42,59,20,35,38,18,15,47,24,9,56
v14,17,26,17,28,46,10,23,9,31,17,49,24,11,0,17,11,30,26,39,21,13,40,19,20,23,21,21,33,36,29,18,22,16,8,37,38,26,34,16,42,43,24,51,16,11,34,41,8,29,28,28,25,30,27,42,4,18,48,8,46,29,14,29,23,27,32,10,17,29,35,48,9,38,27,7,12,50,21,12,59
v15,34,41,34,29,63,17,40,8,18,32,50,29,6,17,0,12,47,43,40,14,6,41,36,27,24,38,24,50,45,30,35,31,13,9,36,39,39,51,19,43,60,41,52,33,8,49,42,25,30,45,29,26,31,28,43,21,17,49,23,47,28,15,46,24,14,31,7,18,12,48,65,26,41,44,24,19,51,22,5,60
v16,22,37,22,39,51,5,28,4,28,20,60,17,14,11,12,0,35,31,50,24,16,51,24,31,34,26,32,38,47,40,23,19,23,15,26,49,37,39,7,53,48,29,62,21,6,45,52,13,40,33,39,36,41,38,53,9,7,59,11,57,18,3,34,34,24,21,15,6,24,46,53,14,49,36,12,7,61,10,7,70
v17,13,36,19,38,16,30,7,39,61,15,59,18,41,30,47,35,0,6,49,51,43,50,11,30,45,9,31,15,46,45,14,16,46,38,27,48,36,26,28,52,27,6,61,14,41,44,51,22,39,14,38,41,42,37,52,26,34,58,24,56,27,32,17,33,57,22,40,29,59,45,18,21,48,35,23,28,60,25,42,69
v18,9,42,25,44,20,26,5,35,57,11,65,14,37,26,43,31,6,0,55,47,39,56,7,36,41,13,37,21,52,45,20,12,42,34,21,54,42,32,24,58,33,12,67,10,37,50,57,18,45,20,44,41,46,43,58,22,30,64,20,62,23,28,23,39,53,16,36,25,55,51,24,17,54,41,19,24,66,21,38,75
v19,46,13,30,21,37,49,50,46,54,56,16,63,36,39,40,50,49,55,0,44,36,5,56,19,38,42,18,34,5,38,35,61,39,35,76,15,13,23,55,27,22,43,22,49,48,9,20,47,10,35,17,34,35,26,23,41,57,23,47,7,68,53,32,20,50,71,35,56,52,8,31,44,1,14,44,51,13,60,45,20
v20,38,45,38,23,67,23,44,20,10,36,36,37,10,21,14,24,51,47,44,0,8,39,40,31,10,42,28,54,49,16,39,35,5,13,50,29,43,55,29,29,64,45,38,37,22,53,28,29,34,49,27,12,17,18,29,25,31,35,27,47,42,27,50,24,6,45,11,30,8,52,69,30,45,48,28,25,37,34,19,46
v21,30,37,30,23,59,15,36,12,18,28,44,29,2,13,6,16,43,39,36,8,0,35,32,23,18,34,20,46,41,24,31,27,7,5,42,33,35,47,21,37,56,37,46,29,14,45,36,21,26,41,23,20,25,22,37,17,23,43,19,41,34,19,42,18,14,37,3,22,16,44,61,22,37,40,20,17,45,26,11,54
v22,47,14,31,16,38,50,51,47,49,57,11,64,37,40,41,51,50,56,5,39,35,0,57,20,33,43,19,35,10,33,36,62,34,36,77,10,14,24,56,22,25,44,17,50,49,14,15,48,11,36,12,29,30,21,18,42,58,18,48,8,69,54,33,17,45,72,36,57,47,13,32,45,6,15,45,52,10,61,46,19
v23,10,43,26,45,27,19,6,28,50,4,66,7,30,19,36,24,11,7,56,40,32,57,0,37,40,14,38,22,53,46,21,5,35,27,20,55,43,33,17,59,34,13,68,7,30,51,58,11,46,21,45,42,47,44,59,15,23,65,13,63,16,21,24,40,46,15,29,18,48,52,29,12,55,42,12,17,67,14,31,76
v24,27,14,11,8,36,30,31,27,41,37,29,44,21,20,27,31,30,36,19,31,23,20,37,0,25,23,3,23,18,25,16,42,26,18,57,18,12,24,36,22,33,24,31,30,29,22,21,28,9,18,8,21,22,13,22,22,38,28,28,26,49,34,19,7,37,52,20,37,39,21,38,25,18,17,25,32,30,41,26,39
v25,32,39,32,17,61,33,38,30,16,40,26,47,20,23,24,34,45,41,38,10,18,33,40,25,0,36,22,48,43,6,33,45,11,19,60,23,37,49,39,19,58,39,28,33,32,47,18,31,28,43,21,4,7,12,19,25,41,25,31,41,52,37,44,18,12,55,19,40,14,46,63,28,39,42,28,35,27,44,29,36
