,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80
v1,0,52,22,25,23,49,47,40,69,62,40,55,70,46,12,42,43,55,36,60,31,28,20,38,14,53,38,52,23,45,39,57,40,57,31,31,65,50,23,24,22,31,23,64,59,15,40,26,7,45,25,35,67,37,19,24,37,15,59,50,59,12,38,37,57,38,49,20,56,33,63,48,47,44,63,24,40,56,14,65
v2,52,0,48,29,45,21,43,18,17,10,12,23,18,26,60,46,41,11,16,32,21,42,44,30,38,33,14,14,35,7,21,9,16,31,37,29,17,4,51,44,46,51,39,24,27,59,12,26,53,25,53,17,21,49,45,32,51,37,31,16,13,40,52,37,15,14,15,48,28,35,21,4,15,12,11,28,12,30,56,19
v3,22,48,0,19,39,45,43,30,65,58,36,51,66,42,12,40,39,51,32,38,27,6,38,18,12,49,34,48,29,41,35,53,36,53,31,19,61,46,3,4,40,9,33,60,55,11,36,22,15,41,5,31,63,43,3,26,45,15,37,46,55,16,46,15,53,34,45,42,36,13,59,44,43,40,59,20,36,34,8,61
v4,25,29,19,0,42,26,40,15,46,39,17,32,47,23,31,43,38,32,13,35,8,13,41,13,15,30,15,29,32,22,18,34,17,34,34,6,42,27,22,15,43,22,36,41,36,30,17,3,24,22,24,12,44,46,16,29,48,18,34,27,36,19,49,12,34,15,26,45,31,8,40,25,24,21,40,5,17,31,27,42
v5,23,45,39,42,0,66,24,57,46,43,39,32,47,23,31,19,20,56,45,77,46,45,3,55,27,30,51,31,10,44,24,36,29,34,8,48,42,49,40,41,1,48,6,41,36,32,37,39,24,22,42,50,44,14,36,13,14,24,76,61,36,23,15,54,34,49,30,3,73,50,40,45,60,33,44,37,55,73,31,42
v6,49,21,45,26,66,0,64,15,32,23,27,44,35,47,57,67,62,10,21,23,20,39,65,27,39,54,15,35,56,22,42,30,37,52,58,26,38,17,48,41,67,48,60,45,48,56,29,27,50,46,50,16,42,70,42,53,72,42,24,5,34,43,73,34,36,17,36,69,9,32,42,21,6,33,22,29,11,27,53,40
v7,47,43,43,40,24,64,0,55,32,41,37,20,29,17,55,5,4,54,43,75,44,43,27,53,33,10,49,29,24,42,22,34,27,12,16,46,26,47,46,39,25,46,24,19,16,54,35,37,48,18,48,48,22,10,40,23,10,32,74,59,30,35,9,52,28,47,28,27,71,48,22,43,58,31,42,35,53,71,51,24
v8,40,18,30,15,57,15,55,0,35,28,18,35,36,38,42,58,53,21,12,20,11,24,56,12,30,45,6,26,47,13,33,23,28,43,49,11,31,16,33,26,58,33,51,36,39,41,20,18,35,37,35,7,33,61,27,44,63,33,19,16,25,34,64,19,27,8,27,60,16,17,33,14,13,24,29,20,6,16,38,31
v9,69,17,65,46,46,32,32,35,0,9,29,14,3,23,77,35,30,22,33,43,38,59,49,47,55,22,31,17,46,24,30,12,29,20,38,46,6,19,68,61,47,68,46,13,16,76,29,43,70,24,70,34,10,38,62,45,40,54,44,27,10,57,41,54,12,31,20,49,39,52,10,21,26,25,10,45,29,47,73,8
v10,62,10,58,39,43,23,41,28,9,0,22,21,12,24,70,44,39,13,26,36,31,52,42,40,48,31,24,12,39,17,23,7,22,29,35,39,15,12,61,54,44,61,39,22,25,69,22,36,63,23,63,27,19,47,55,38,49,47,37,18,11,50,50,47,13,24,13,46,30,45,19,14,17,18,1,38,22,40,66,17
v11,40,12,36,17,39,27,37,18,29,22,0,17,30,20,48,40,35,17,6,38,9,30,38,18,26,27,12,12,29,5,15,17,10,25,31,17,25,10,39,32,40,39,33,24,21,47,2,14,41,19,41,11,27,43,33,26,45,25,37,22,19,28,46,25,17,10,9,42,34,23,23,8,21,6,23,16,16,34,44,25
v12,55,23,51,32,32,44,20,35,14,21,17,0,15,9,63,23,18,34,23,55,24,45,35,33,41,10,29,9,32,22,16,14,15,8,24,32,10,27,54,47,33,54,32,9,4,62,15,29,56,10,56,28,12,26,48,31,28,40,54,39,10,43,29,40,8,27,8,35,51,38,8,23,38,11,22,31,33,51,59,10
v13,70,18,66,47,47,35,29,36,3,12,30,15,0,24,78,32,27,25,34,46,39,60,50,48,56,19,32,18,47,25,31,13,30,17,39,47,5,20,69,62,48,69,47,10,13,77,30,44,71,25,71,35,7,35,63,46,37,55,45,30,11,58,38,55,13,32,21,50,42,53,7,22,29,26,13,46,30,48,74,5
v14,46,26,42,23,23,47,17,38,23,24,20,9,24,0,54,20,15,37,26,58,27,36,26,36,32,7,32,12,23,25,7,17,10,11,15,29,19,30,45,38,24,45,23,18,13,53,18,20,47,1,47,31,21,23,39,22,25,31,57,42,13,34,26,35,11,30,11,26,54,31,17,26,41,14,25,22,36,54,50,19
v15,12,60,12,31,31,57,55,42,77,70,48,63,78,54,0,50,51,63,44,48,39,18,28,30,22,61,46,60,31,53,47,65,48,65,39,31,73,58,11,16,30,19,31,72,67,3,48,34,7,53,13,43,75,45,15,32,45,23,47,58,67,20,46,25,65,46,57,32,48,25,71,56,55,52,71,32,48,44,4,73
v16,42,46,40,43,19,67,5,58,35,44,40,23,32,20,50,0,5,57,46,78,47,46,22,56,28,13,52,32,19,45,25,37,30,15,11,49,29,50,41,42,20,49,19,22,19,49,38,40,43,21,43,51,25,5,37,18,5,27,77,62,33,30,6,55,31,50,31,22,74,51,25,46,61,34,45,38,56,74,46,27
v17,43,41,39,38,20,62,4,53,30,39,35,18,27,15,51,5,0,52,41,73,42,41,23,51,29,10,47,27,20,40,20,32,25,14,12,44,24,45,42,37,21,44,20,21,16,50,33,35,44,16,44,46,24,8,36,19,10,28,72,57,28,31,11,50,26,45,26,23,69,46,20,41,56,29,40,33,51,69,47,22
v18,55,11,51,32,56,10,54,21,22,13,17,34,25,37,63,57,52,0,19,29,24,45,55,33,41,44,17,25,46,12,32,20,27,42,48,32,28,7,54,47,57,54,50,35,38,62,19,29,56,36,56,20,32,60,48,43,62,40,30,5,24,43,63,40,26,17,26,59,17,38,32,11,8,23,12,31,15,33,59,30
v19,36,16,32,13,45,21,43,12,33,26,6,23,34,26,44,46,41,19,0,32,5,26,44,14,22,33,6,16,35,9,21,21,16,31,37,13,29,14,35,28,46,35,39,28,27,43,8,10,37,25,37,5,31,49,29,32,51,21,31,16,23,24,52,21,21,4,15,48,28,19,27,12,15,12,27,12,10,28,40,29
