,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80
v1,0,42,15,54,29,58,10,47,7,10,20,12,38,16,22,24,64,18,20,36,12,50,43,24,15,41,24,39,35,14,23,32,21,21,24,31,16,29,12,54,56,28,40,15,60,47,27,15,32,21,34,38,24,19,18,39,29,24,9,27,28,41,8,25,4,26,20,22,23,32,59,19,15,30,18,34,40,27,37,28
v2,42,0,39,42,45,44,32,37,49,32,22,54,48,50,50,32,48,38,22,8,54,42,51,66,27,83,46,23,77,30,65,42,63,63,56,73,32,33,36,44,42,70,24,57,52,55,15,31,74,21,58,44,66,23,60,3,45,18,33,45,46,33,50,67,38,34,38,20,45,74,45,61,57,58,54,76,4,19,33,70
v3,15,39,0,69,14,73,13,62,14,7,35,15,53,11,11,39,79,33,27,39,15,65,58,27,18,44,39,54,42,9,34,47,28,24,39,34,7,44,27,69,71,39,55,18,75,62,24,8,43,24,49,53,33,16,21,36,44,21,22,12,43,56,13,28,13,41,35,25,38,39,74,22,18,45,15,43,37,42,52,31
v4,54,42,69,0,83,4,56,7,55,64,34,64,16,70,76,30,10,36,42,36,60,4,11,66,51,45,30,21,35,68,35,22,41,57,30,49,70,25,42,2,2,30,20,69,10,13,51,69,32,45,20,16,36,61,68,39,25,52,47,81,26,13,56,49,56,28,34,44,31,32,5,63,57,24,72,34,40,27,17,52
v5,29,45,14,83,0,87,27,76,28,19,49,19,67,13,7,53,93,47,41,53,23,79,72,23,32,40,53,68,56,15,48,61,42,26,53,34,13,58,41,83,85,53,69,14,89,76,32,14,57,38,63,67,47,22,17,44,58,31,36,2,57,70,27,34,27,55,49,39,52,53,88,20,26,59,11,57,49,56,66,31
v6,58,44,73,4,87,0,60,11,59,68,38,68,20,74,80,34,6,40,46,38,64,8,15,70,55,49,34,23,33,72,39,26,45,61,34,53,74,29,46,4,2,34,22,73,8,11,55,73,30,49,24,20,40,65,72,43,29,56,51,85,30,17,60,53,60,32,38,48,35,34,1,67,61,28,76,32,42,31,21,56
v7,10,32,13,56,27,60,0,49,17,8,22,22,40,18,20,26,66,20,14,26,22,52,45,34,5,51,26,41,45,12,33,34,31,31,26,41,14,31,14,56,58,38,42,25,62,49,17,13,42,11,36,40,34,9,28,29,31,14,9,25,30,43,18,35,6,28,22,12,25,42,61,29,25,32,22,44,30,29,39,38
v8,47,37,62,7,76,11,49,0,48,57,27,57,11,63,69,23,17,29,35,31,53,5,14,59,44,46,23,16,40,61,28,15,34,50,23,42,63,18,35,7,9,33,15,62,15,18,44,62,37,38,21,9,29,54,61,34,18,45,40,74,19,6,49,42,49,21,27,37,24,37,12,56,50,21,65,39,35,20,10,45
v9,7,49,14,55,28,59,17,48,0,17,27,9,39,15,21,25,65,19,27,43,5,51,44,17,22,34,25,40,28,19,20,33,14,14,25,24,17,30,13,55,57,25,41,14,61,48,34,18,29,28,35,39,19,26,13,46,30,31,16,26,29,42,1,18,11,27,21,29,24,25,60,12,8,31,17,29,47,30,38,21
v10,10,32,7,64,19,68,8,57,17,0,30,22,48,18,18,34,74,28,22,34,22,60,53,34,13,51,34,49,45,4,33,42,31,31,34,41,6,39,22,64,66,38,50,25,70,57,17,5,42,19,44,48,34,9,28,29,39,14,17,17,38,51,18,35,8,36,30,20,33,42,69,29,25,40,22,44,30,37,47,38
v11,20,22,35,34,49,38,22,27,27,30,0,32,26,36,42,10,44,16,8,16,32,30,29,44,17,61,24,19,55,34,43,20,41,41,34,51,36,11,14,34,36,48,20,35,40,33,17,35,52,11,36,22,44,27,38,19,23,18,13,47,24,21,28,45,22,12,16,10,23,52,39,39,35,36,38,54,20,7,17,48
v12,12,54,15,64,19,68,22,57,9,22,32,0,48,6,12,34,74,28,32,48,4,60,53,12,27,29,34,49,37,24,29,42,23,9,34,19,22,39,22,64,66,34,50,5,70,57,39,23,38,33,44,48,28,31,6,51,39,36,21,17,38,51,8,15,16,36,30,34,33,34,69,7,7,40,8,38,52,37,47,16
v13,38,48,53,16,67,20,40,11,39,48,26,48,0,54,60,16,26,20,26,42,44,12,5,50,35,35,14,27,29,52,19,6,25,41,14,33,54,15,26,16,18,22,26,53,22,9,35,53,26,29,10,4,20,45,52,45,9,36,31,65,10,15,40,33,40,14,18,28,15,26,21,47,41,10,56,28,46,29,15,36
v14,16,50,11,70,13,74,18,63,15,18,36,6,54,0,6,40,80,34,28,44,10,66,59,16,23,33,40,55,43,20,35,48,29,13,40,23,18,45,28,70,72,40,56,7,76,63,35,19,44,29,50,54,34,27,10,47,45,32,23,11,44,57,14,21,14,42,36,30,39,40,75,11,13,46,4,44,48,43,53,20
