,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,276,282,568,792,469,286,428,705,701,761,494,732,534,491,745,579,302,326,834
v2,276,0,166,292,516,193,74,318,595,425,485,384,622,554,381,635,343,282,312,558
v3,282,166,0,286,510,311,92,484,761,419,581,550,788,590,547,801,509,358,382,552
v4,568,292,286,0,224,163,282,336,613,133,433,402,864,846,553,653,361,574,604,266
v5,792,516,510,224,0,323,506,444,721,101,541,570,1088,1070,777,835,469,798,828,184
v6,469,193,311,163,323,0,219,173,450,232,292,247,765,747,454,512,198,475,505,365
v7,286,74,92,282,506,219,0,392,669,415,489,458,696,564,455,709,417,292,322,548
v8,428,318,484,336,444,173,392,0,277,343,397,142,660,642,349,407,215,370,400,470
v9,705,595,761,613,721,450,669,277,0,620,638,211,419,401,214,166,456,403,379,711
v10,701,425,419,133,101,232,415,343,620,0,440,479,997,979,686,744,368,707,737,133
v11,761,485,581,433,541,292,489,397,638,440,0,539,1057,1039,746,804,182,767,797,357
v12,494,384,550,402,570,247,458,142,211,479,539,0,518,500,207,265,357,228,258,612
v13,732,622,788,864,1088,765,696,660,419,997,1057,518,0,198,311,253,875,430,406,1130
v14,534,554,590,846,1070,747,564,642,401,979,1039,500,198,0,293,235,857,272,242,1112
v15,491,381,547,553,777,454,455,349,214,686,746,207,311,293,0,254,564,189,165,819
v16,745,635,801,653,835,512,709,407,166,744,804,265,253,235,254,0,622,443,419,877
v17,579,343,509,361,469,198,417,215,456,368,182,357,875,857,564,622,0,585,615,285
v18,302,282,358,574,798,475,292,370,403,707,767,228,430,272,189,443,585,0,30,840
v19,326,312,382,604,828,505,322,400,379,737,797,258,406,242,165,419,615,30,0,870
v20,834,558,552,266,184,365,548,470,711,133,357,612,1130,1112,819,877,285,840,870,0
