,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,890,661,379,215,923,457,397,174,844,977,599,903,734,219,1096,793,272,19,263
v2,890,0,799,893,675,1347,433,1287,770,878,1321,1489,1035,1624,671,768,905,992,871,651
v3,661,799,0,282,746,548,716,652,487,183,522,690,242,825,730,435,132,933,654,398
v4,379,893,282,0,464,544,460,394,205,465,598,596,524,731,448,717,414,651,372,242
v5,215,675,746,464,0,1008,242,612,259,929,1062,814,988,949,16,1181,878,317,196,348
v6,923,1347,548,544,1008,0,978,914,749,469,54,522,312,813,992,579,442,1195,916,696
v7,457,433,716,460,242,978,0,854,337,899,1032,1056,958,1191,238,1151,848,559,438,318
v8,397,1287,652,394,612,914,854,0,517,835,968,392,894,337,616,1087,784,295,416,636
v9,174,770,487,205,259,749,337,517,0,670,803,719,729,854,243,922,619,446,167,119
v10,844,878,183,465,929,469,899,835,670,0,443,611,157,746,913,252,51,1116,837,581
v11,977,1321,522,598,1062,54,1032,968,803,443,0,576,286,867,1046,553,416,1249,970,714
v12,599,1489,690,596,814,522,1056,392,719,611,576,0,502,291,818,721,584,673,618,838
v13,903,1035,242,524,988,312,958,894,729,157,286,502,0,793,972,267,130,1175,896,640
v14,734,1624,825,731,949,813,1191,337,854,746,867,291,793,0,953,986,719,632,753,973
v15,219,671,730,448,16,992,238,616,243,913,1046,818,972,953,0,1165,862,321,200,332
v16,1096,768,435,717,1181,579,1151,1087,922,252,553,721,267,986,1165,0,303,1368,1089,833
v17,793,905,132,414,878,442,848,784,619,51,416,584,130,719,862,303,0,1065,786,530
v18,272,992,933,651,317,1195,559,295,446,1116,1249,673,1175,632,321,1368,1065,0,279,535
v19,19,871,654,372,196,916,438,416,167,837,970,618,896,753,200,1089,786,279,0,256
v20,263,651,398,242,348,696,318,636,119,581,714,838,640,973,332,833,530,535,256,0
