,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,563,389,527,1102,878,358,162,248,358,623,730,293,773,123,218,705,450,476,1398
v2,563,0,848,502,539,315,921,709,785,365,862,431,764,210,650,543,158,623,681,851
v3,389,848,0,812,1387,1163,311,551,627,483,234,417,96,1058,492,305,762,735,167,1009
v4,527,502,812,0,575,351,885,617,283,329,826,685,728,376,404,507,660,121,645,1353
v5,1102,539,1387,575,0,282,1460,1192,854,904,1401,970,1303,329,979,1082,625,652,1220,964
v6,878,315,1163,351,282,0,1236,968,630,680,1177,746,1079,163,755,858,447,428,996,1140
v7,358,921,311,885,1460,1236,0,268,606,556,545,652,215,1131,481,378,835,808,398,1320
v8,162,709,551,617,1192,968,268,0,338,520,785,892,455,863,213,380,867,540,638,1560
v9,248,785,627,283,854,630,606,338,0,596,861,968,531,659,135,456,943,202,714,1636
v10,358,365,483,329,904,680,556,520,596,0,497,372,399,575,461,178,347,434,316,1040
v11,623,862,234,826,1401,1177,545,785,861,497,0,431,330,1072,726,405,776,749,181,775
v12,730,431,417,685,970,746,652,892,968,372,431,0,437,641,833,512,345,806,254,668
v13,293,764,96,728,1303,1079,215,455,531,399,330,437,0,974,396,221,678,651,183,1105
v14,773,210,1058,376,329,163,1131,863,659,575,1072,641,974,0,650,753,296,497,891,977
v15,123,650,492,404,979,755,481,213,135,461,726,833,396,650,0,321,808,327,579,1501
v16,218,543,305,507,1082,858,378,380,456,178,405,512,221,753,321,0,487,430,258,1180
v17,705,158,762,660,625,447,835,867,943,347,776,345,678,296,808,487,0,781,595,693
v18,450,623,735,121,652,428,808,540,202,434,749,806,651,497,327,430,781,0,568,1474
v19,476,681,167,645,1220,996,398,638,714,316,181,254,183,891,579,258,595,568,0,922
v20,1398,851,1009,1353,964,1140,1320,1560,1636,1040,775,668,1105,977,1501,1180,693,1474,922,0
