,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,360,161,504,628,658,454,464,382,762,751,540,479,1369,325,494,111,890,519,286
v2,360,0,347,452,680,606,94,412,330,630,493,592,469,1009,49,442,249,678,467,186
v3,161,347,0,343,789,497,441,303,221,749,738,701,318,1356,312,333,168,877,410,295
v4,504,452,343,0,1132,210,452,140,122,548,537,1044,323,1155,501,18,511,676,209,638
v5,628,680,789,1132,0,1286,680,1092,1010,1310,1173,88,1107,899,631,1122,621,1358,1147,494
v6,658,606,497,210,1286,0,606,194,276,758,747,1198,179,1365,655,192,665,886,419,792
v7,454,94,441,452,680,606,0,412,330,630,493,592,563,915,129,442,343,678,467,186
v8,464,412,303,140,1092,194,412,0,82,688,677,1004,183,1295,461,122,471,816,349,598
v9,382,330,221,122,1010,276,330,82,0,618,607,922,253,1225,379,112,389,746,279,516
v10,762,630,749,548,1310,758,630,688,618,0,137,1222,871,607,679,566,689,128,339,816
v11,751,493,738,537,1173,747,493,677,607,137,0,1085,860,618,542,555,640,185,328,679
v12,540,592,701,1044,88,1198,592,1004,922,1222,1085,0,1019,839,543,1034,533,1270,1059,406
v13,479,469,318,323,1107,179,563,183,253,871,860,1019,0,1478,476,305,486,999,532,613
v14,1369,1009,1356,1155,899,1365,915,1295,1225,607,618,839,1478,0,1044,1173,1258,643,946,1083
v15,325,49,312,501,631,655,129,461,379,679,542,543,476,1044,0,491,214,727,516,137
v16,494,442,333,18,1122,192,442,122,112,566,555,1034,305,1173,491,0,501,694,227,628
v17,111,249,168,511,621,665,343,471,389,689,640,533,486,1258,214,501,0,779,526,175
v18,890,678,877,676,1358,886,678,816,746,128,185,1270,999,643,727,694,779,0,467,864
v19,519,467,410,209,1147,419,467,349,279,339,328,1059,532,946,516,227,526,467,0,653
v20,286,186,295,638,494,792,186,598,516,816,679,406,613,1083,137,628,175,864,653,0
