,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,925,315,394,58,628,748,1074,675,520,339,795,361,555,678,240,258,878,515,163
v2,925,0,736,605,983,1553,239,921,894,629,626,750,1140,370,359,1165,667,899,410,1088
v3,315,736,0,205,297,817,559,1389,990,835,150,1110,404,648,489,429,111,1193,822,352
v4,394,605,205,0,452,1022,366,1348,949,794,55,1069,609,607,284,634,136,1152,781,557
v5,58,983,297,452,0,570,806,1092,693,538,397,813,343,613,736,182,316,896,573,105
v6,628,1553,817,1022,570,0,1376,884,659,924,967,803,551,1183,1306,388,886,688,1143,465
v7,748,239,559,366,806,1376,0,982,717,452,409,703,963,241,120,988,490,786,415,911
v8,1074,921,1389,1348,1092,884,982,0,399,554,1369,279,1435,741,1102,1150,1278,196,567,1169
v9,675,894,990,949,693,659,717,399,0,265,970,144,1036,524,703,751,879,203,484,770
v10,520,629,835,794,538,924,452,554,265,0,815,275,881,259,548,596,724,358,219,615
v11,339,626,150,55,397,967,409,1369,970,815,0,1090,554,628,339,579,91,1173,802,502
v12,795,750,1110,1069,813,803,703,279,144,275,1090,0,1156,462,823,871,999,149,340,890
v13,361,1140,404,609,343,551,963,1435,1036,881,554,1156,0,770,893,285,473,1239,868,266
v14,555,370,648,607,613,1183,241,741,524,259,628,462,770,0,361,795,537,545,174,718
v15,678,359,489,284,736,1306,120,1102,703,548,339,823,893,361,0,918,420,906,535,841
v16,240,1165,429,634,182,388,988,1150,751,596,579,871,285,795,918,0,498,954,755,77
v17,258,667,111,136,316,886,490,1278,879,724,91,999,473,537,420,498,0,1082,711,421
v18,878,899,1193,1152,896,688,786,196,203,358,1173,149,1239,545,906,954,1082,0,489,973
v19,515,410,822,781,573,1143,415,567,484,219,802,340,868,174,535,755,711,489,0,678
v20,163,1088,352,557,105,465,911,1169,770,615,502,890,266,718,841,77,421,973,678,0
