,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,305,1084,475,648,230,634,573,607,885,736,857,511,346,693,608,447,653,292,755
v2,305,0,1063,490,953,535,765,552,912,1190,1041,1162,816,651,728,587,588,818,597,1060
v3,1084,1063,0,609,674,1208,450,511,1633,597,708,1137,1029,846,1777,476,1531,431,1346,661
v4,475,490,609,0,463,599,275,98,1024,700,551,672,420,237,1168,313,922,328,737,570
v5,648,953,674,463,0,534,224,401,959,237,88,463,355,302,1103,776,857,243,672,107
v6,230,535,1208,599,534,0,758,697,425,655,506,627,281,362,569,732,323,777,138,547
v7,634,765,450,275,224,758,0,213,1183,425,276,687,579,396,1327,588,1081,53,896,295
v8,573,552,511,98,401,697,213,0,1122,638,489,626,518,335,1266,375,1020,266,835,508
v9,607,912,1633,1024,959,425,1183,1122,0,1036,925,496,604,787,184,1157,324,1202,315,972
v10,885,1190,597,700,237,655,425,638,1036,0,149,540,432,539,1180,1013,934,372,749,130
v11,736,1041,708,551,88,506,276,489,925,149,0,429,321,390,1069,864,823,277,638,47
v12,857,1162,1137,672,463,627,687,626,496,540,429,0,346,511,640,985,574,706,565,476
v13,511,816,1029,420,355,281,579,518,604,432,321,346,0,183,748,639,502,598,317,368
v14,346,651,846,237,302,362,396,335,787,539,390,511,183,0,931,474,685,415,500,409
v15,693,728,1777,1168,1103,569,1327,1266,184,1180,1069,640,748,931,0,1301,246,1346,431,1116
v16,608,587,476,313,776,732,588,375,1157,1013,864,985,639,474,1301,0,1055,641,870,883
v17,447,588,1531,922,857,323,1081,1020,324,934,823,574,502,685,246,1055,0,1100,185,870
v18,653,818,431,328,243,777,53,266,1202,372,277,706,598,415,1346,641,1100,0,915,242
v19,292,597,1346,737,672,138,896,835,315,749,638,565,317,500,431,870,185,915,0,685
v20,755,1060,661,570,107,547,295,508,972,130,47,476,368,409,1116,883,870,242,685,0
