,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,931,612,1393,1593,705,263,820,452,423,1194,1420,599,1090,1161,641,579,758,915,402
v2,931,0,591,620,820,784,804,303,1137,1164,777,775,814,159,230,420,1032,513,808,923
v3,612,591,0,1211,1411,523,485,288,818,845,1012,1238,223,560,549,459,713,146,733,604
v4,1393,620,1211,0,200,688,1130,923,941,970,275,273,1434,661,732,752,814,1133,478,991
v5,1593,820,1411,200,0,888,1330,1123,1141,1170,399,173,1634,851,904,952,1014,1333,678,1191
v6,705,784,523,688,888,0,442,673,353,380,489,715,746,943,1014,364,248,611,210,303
v7,263,804,485,1130,1330,442,0,693,333,360,931,1157,472,963,1034,384,316,631,652,139
v8,820,303,288,923,1123,673,693,0,1026,1053,724,950,511,272,341,309,921,210,697,812
v9,452,1137,818,941,1141,353,333,1026,0,29,742,968,805,1296,1367,717,127,964,463,214
v10,423,1164,845,970,1170,380,360,1053,29,0,771,997,832,1323,1394,744,156,991,492,241
v11,1194,777,1012,275,399,489,931,724,742,771,0,226,1235,936,1007,553,615,934,279,792
v12,1420,775,1238,273,173,715,1157,950,968,997,226,0,1461,934,1005,779,841,1160,505,1018
v13,599,814,223,1434,1634,746,472,511,805,832,1235,1461,0,783,730,682,700,301,956,591
v14,1090,159,560,661,851,943,963,272,1296,1323,936,934,783,0,71,579,1191,482,967,1082
v15,1161,230,549,732,904,1014,1034,341,1367,1394,1007,1005,730,71,0,650,1262,429,1038,1153
v16,641,420,459,752,952,364,384,309,717,744,553,779,682,579,650,0,612,381,388,503
v17,579,1032,713,814,1014,248,316,921,127,156,615,841,700,1191,1262,612,0,859,336,177
v18,758,513,146,1133,1333,611,631,210,964,991,934,1160,301,482,429,381,859,0,655,750
v19,915,808,733,478,678,210,652,697,463,492,279,505,956,967,1038,388,336,655,0,513
v20,402,923,604,991,1191,303,139,812,214,241,792,1018,591,1082,1153,503,177,750,513,0
