,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,212,758,320,436,726,1167,948,774,307,902,130,1239,235,911,483,733,658,297,823
v2,212,0,586,232,224,514,955,736,686,255,690,342,1027,147,699,271,521,746,125,629
v3,758,586,0,818,672,268,409,1176,1272,451,1222,888,673,733,153,721,129,280,461,1215
v4,320,232,818,0,180,550,911,692,454,487,646,386,983,97,769,227,689,978,357,567
v5,436,224,672,180,0,404,731,512,600,341,550,566,803,277,623,49,543,832,211,543
v6,726,514,268,550,404,0,441,908,1004,419,954,856,513,567,219,453,139,428,429,947
v7,1167,955,409,911,731,441,0,887,983,860,933,1297,384,1008,256,684,434,689,870,926
v8,948,736,1176,692,512,908,887,0,610,845,46,1078,503,789,1127,465,1047,1336,715,125
v9,774,686,1272,454,600,1004,983,610,0,941,564,762,901,539,1223,551,1143,1432,811,485
v10,307,255,451,487,341,419,860,845,941,0,891,437,932,402,604,390,426,491,130,884
v11,902,690,1222,646,550,954,933,46,564,891,0,1032,549,743,1173,501,1093,1382,761,79
v12,130,342,888,386,566,856,1297,1078,762,437,1032,0,1369,289,1041,613,863,670,427,953
v13,1239,1027,673,983,803,513,384,503,901,932,549,1369,0,1080,624,756,544,833,942,542
v14,235,147,733,97,277,567,1008,789,539,402,743,289,1080,0,752,324,604,893,272,664
v15,911,699,153,769,623,219,256,1127,1223,604,1173,1041,624,752,0,672,178,433,614,1166
v16,483,271,721,227,49,453,684,465,551,390,501,613,756,324,672,0,592,881,260,494
v17,733,521,129,689,543,139,434,1047,1143,426,1093,863,544,604,178,592,0,289,436,1086
v18,658,746,280,978,832,428,689,1336,1432,491,1382,670,833,893,433,881,289,0,621,1375
v19,297,125,461,357,211,429,870,715,811,130,761,427,942,272,614,260,436,621,0,754
v20,823,629,1215,567,543,947,926,125,485,884,79,953,542,664,1166,494,1086,1375,754,0
