,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,627,667,1205,818,168,1249,632,519,790,850,1064,967,441,279,54,930,713,409,839
v2,627,0,100,578,519,795,950,333,628,163,311,765,668,508,776,681,303,708,1036,776
v3,667,100,0,538,619,835,1050,433,668,123,411,865,768,408,816,721,263,748,1076,816
v4,1205,578,538,0,869,1373,742,891,1206,415,355,659,954,764,1354,1259,339,1286,1614,1354
v5,818,519,619,869,0,716,431,186,337,514,514,246,149,1027,539,772,650,417,745,485
v6,168,795,835,1373,716,0,1147,530,417,958,1018,962,865,609,177,114,1098,611,241,737
v7,1249,950,1050,742,431,1147,0,617,730,945,639,185,398,1458,970,1203,1081,730,1058,798
v8,632,333,433,891,186,530,617,0,315,476,536,432,335,841,463,586,616,395,723,463
v9,519,628,668,1206,337,417,730,315,0,791,851,547,448,728,240,473,931,194,408,320
v10,790,163,123,415,514,958,945,476,791,0,306,760,663,513,939,844,140,871,1199,939
v11,850,311,411,355,514,1018,639,536,851,306,0,454,599,819,999,904,442,931,1259,999
v12,1064,765,865,659,246,962,185,432,547,760,454,0,295,1273,785,1018,896,627,955,695
v13,967,668,768,954,149,865,398,335,448,663,599,295,0,1176,688,921,799,332,660,400
v14,441,508,408,764,1027,609,1458,841,728,513,819,1273,1176,0,590,495,489,922,850,1048
v15,279,776,816,1354,539,177,970,463,240,939,999,785,688,590,0,233,1079,434,260,560
v16,54,681,721,1259,772,114,1203,586,473,844,904,1018,921,495,233,0,984,667,355,793
v17,930,303,263,339,650,1098,1081,616,931,140,442,896,799,489,1079,984,0,1011,1339,1079
v18,713,708,748,1286,417,611,730,395,194,871,931,627,332,922,434,667,1011,0,380,126
v19,409,1036,1076,1614,745,241,1058,723,408,1199,1259,955,660,850,260,355,1339,380,0,506
v20,839,776,816,1354,485,737,798,463,320,939,999,695,400,1048,560,793,1079,126,506,0
