,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,525,1047,530,261,819,1474,1377,501,977,1274,690,880,442,1445,233,894,406,659,715
v2,525,0,522,399,396,382,949,852,150,452,749,1103,355,253,920,292,481,677,134,192
v3,1047,522,0,921,918,892,427,330,546,554,691,593,331,775,398,814,991,641,604,332
v4,530,399,921,0,269,693,1348,1251,375,851,1148,1220,754,146,1319,373,742,794,533,589
v5,261,396,918,269,0,690,1345,1248,372,848,1145,951,751,181,1316,104,739,525,530,586
v6,819,382,892,693,690,0,655,786,532,338,455,1485,561,547,708,638,99,1059,288,574
v7,1474,949,427,1348,1345,655,0,175,973,497,410,874,594,1202,97,1241,710,1068,815,759
v8,1377,852,330,1251,1248,786,175,0,876,448,585,699,497,1105,78,1144,885,971,718,662
v9,501,150,546,375,372,532,973,876,0,476,773,953,379,229,944,268,631,527,244,214
v10,977,452,554,851,848,338,497,448,476,0,297,1147,223,705,468,744,437,721,318,262
v11,1274,749,691,1148,1145,455,410,585,773,297,0,1284,394,1002,507,1041,406,868,615,559
v12,690,1103,593,1220,951,1485,874,699,953,1147,1284,0,924,1132,777,847,1584,426,1197,911
v13,880,355,331,754,751,561,594,497,379,223,394,924,0,608,565,647,660,498,273,165
v14,442,253,775,146,181,547,1202,1105,229,705,1002,1132,608,0,1173,285,596,706,387,443
v15,1445,920,398,1319,1316,708,97,78,944,468,507,777,565,1173,0,1212,807,1039,786,730
v16,233,292,814,373,104,638,1241,1144,268,744,1041,847,647,285,1212,0,737,421,426,482
v17,894,481,991,742,739,99,710,885,631,437,406,1584,660,596,807,737,0,1158,387,673
v18,406,677,641,794,525,1059,1068,971,527,721,868,426,498,706,1039,421,1158,0,771,485
v19,659,134,604,533,530,288,815,718,244,318,615,1197,273,387,786,426,387,771,0,286
v20,715,192,332,589,586,574,759,662,214,262,559,911,165,443,730,482,673,485,286,0
