0,10,16,12,5,4,7,11,8,14,10,14,15,14,7,10,2,16,3,7
10,0,10,6,7,8,7,5,4,8,4,8,9,8,5,2,10,10,9,7
16,10,0,6,13,14,13,7,10,6,8,6,3,4,11,10,16,2,15,13
12,6,6,0,9,10,9,3,6,4,4,4,5,4,7,6,12,6,11,9
5,7,13,9,0,3,4,8,5,11,7,11,12,11,4,7,5,13,4,4
4,8,14,10,3,0,5,9,6,12,8,12,13,12,5,8,4,14,3,5
7,7,13,9,4,5,0,8,5,11,7,11,12,11,4,7,7,13,6,2
11,5,7,3,8,9,8,0,5,5,3,5,6,5,6,5,11,7,10,8
8,4,10,6,5,6,5,5,0,8,4,8,9,8,3,4,8,10,7,5
14,8,6,4,11,12,11,5,8,0,6,2,5,4,9,8,14,6,13,11
10,4,8,4,7,8,7,3,4,6,0,6,7,6,5,4,10,8,9,7
14,8,6,4,11,12,11,5,8,2,6,0,5,4,9,8,14,6,13,11
15,9,3,5,12,13,12,6,9,5,7,5,0,3,10,9,15,3,14,12
14,8,4,4,11,12,11,5,8,4,6,4,3,0,9,8,14,4,13,11
7,5,11,7,4,5,4,6,3,9,5,9,10,9,0,5,7,11,6,4
10,2,10,6,7,8,7,5,4,8,4,8,9,8,5,0,10,10,9,7
2,10,16,12,5,4,7,11,8,14,10,14,15,14,7,10,0,16,3,7
16,10,2,6,13,14,13,7,10,6,8,6,3,4,11,10,16,0,15,13
3,9,15,11,4,3,6,10,7,13,9,13,14,13,6,9,3,15,0,6
7,7,13,9,4,5,2,8,5,11,7,11,12,11,4,7,7,13,6,0
