,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160
v1,0,18,42,25,56,48,41,32,24,23,33,39,26,30,6,10,21,35,27,44,28,12,32,39,19,43,34,22,43,52,26,41,17,34,61,7,14,37,30,25,3,36,30,9,49,37,40,19,21,18,38,44,54,22,43,3,23,35,6,47,30,44,13,41,17,38,38,19,41,39,9,39,36,18,18,44,17,15,42,32,24,57,61,19,40,40,39,55,43,24,27,26,57,60,24,4,22,23,58,28,13,62,19,10,13,16,30,55,34,35,52,39,32,26,25,44,13,58,5,42,20,23,40,52,31,38,45,10,30,31,17,23,45,41,28,59,20,30,27,17,47,24,22,14,47,21,40,37,29,47,14,20,44,39,7,14,23,40,28,25
v2,18,0,28,7,38,34,23,18,10,9,17,25,8,12,20,22,9,21,9,26,28,24,18,21,3,29,16,40,25,38,40,27,31,16,43,21,22,19,12,11,21,22,14,21,35,19,26,21,27,36,24,26,36,36,25,21,9,17,24,29,20,26,27,23,35,24,24,33,27,29,13,21,18,14,32,30,19,3,24,30,18,43,47,17,22,26,21,41,25,32,45,12,43,46,24,22,6,37,44,10,31,44,25,8,27,12,16,41,20,21,34,25,16,20,9,30,9,40,19,26,12,35,26,34,17,20,31,28,24,17,33,17,27,25,34,45,22,16,9,31,29,20,8,14,33,39,26,23,15,29,26,34,30,21,13,24,7,22,14,11
v3,42,28,0,29,32,18,37,12,18,19,45,9,28,36,48,50,37,15,21,42,34,30,10,25,25,9,18,46,19,18,68,9,59,26,37,35,28,13,18,17,41,6,14,33,7,17,16,27,33,42,4,40,30,64,33,45,37,19,48,23,48,32,55,17,41,30,20,61,19,35,33,29,42,24,60,12,47,27,26,58,24,15,19,23,26,2,15,13,23,38,51,16,15,18,30,38,22,65,16,38,39,38,31,32,55,26,20,13,24,11,28,5,44,48,19,2,29,34,47,18,40,41,4,38,11,40,23,46,30,17,39,45,31,17,40,17,50,12,33,59,23,48,36,42,23,45,28,11,21,39,32,62,6,15,35,30,21,34,14,17
v4,25,7,29,0,31,35,16,19,11,14,16,26,1,7,25,21,8,22,8,19,35,31,19,14,6,30,11,47,18,39,39,28,30,9,36,28,29,20,11,18,28,23,15,28,36,12,27,28,34,43,25,19,29,35,18,28,8,10,31,22,19,19,26,22,42,31,25,32,28,36,20,14,13,21,31,31,18,10,17,29,25,44,48,24,15,27,20,42,18,39,52,13,44,47,31,29,7,36,45,9,38,37,32,15,26,19,21,42,25,22,27,26,15,19,10,31,16,33,26,27,11,42,27,27,18,13,32,35,31,18,40,16,20,26,41,46,21,17,4,30,22,19,7,13,34,46,29,24,22,22,33,33,31,22,20,31,8,15,15,12
v5,56,38,32,31,0,50,15,44,42,45,23,41,30,26,56,46,35,47,29,16,66,62,36,17,37,27,22,78,13,50,42,41,43,22,5,59,60,19,26,49,59,32,26,59,33,19,48,59,65,74,36,14,12,38,13,59,33,21,62,19,26,12,55,19,73,62,52,45,51,67,51,17,20,52,48,28,39,41,14,32,56,41,45,55,16,32,17,39,13,70,83,34,47,44,62,60,34,43,42,28,69,6,63,46,43,50,52,39,56,21,6,27,24,30,31,30,47,2,57,24,36,73,36,12,41,18,55,66,62,49,71,33,11,23,72,43,36,28,29,49,9,32,34,42,55,77,60,43,53,13,64,48,28,19,51,62,33,16,38,31
v6,48,34,18,35,50,0,43,16,24,25,51,9,34,42,54,56,43,13,27,48,20,36,16,33,31,27,28,32,37,4,74,9,65,32,55,41,34,31,24,23,47,18,24,39,19,31,8,29,27,38,14,46,48,70,39,51,43,29,54,41,54,38,61,35,41,12,10,67,7,17,39,35,48,30,66,30,53,33,36,64,24,9,13,29,34,18,33,11,37,24,33,22,9,12,24,44,28,71,12,44,45,56,29,38,61,32,18,19,14,29,46,23,50,54,25,20,35,52,53,36,46,25,14,46,17,46,5,52,18,17,31,51,39,35,22,11,56,22,39,65,41,54,42,48,5,31,10,11,19,45,34,68,24,33,41,34,27,40,20,23
v7,41,23,37,16,15,43,0,29,27,30,8,34,15,11,41,31,20,32,16,5,51,47,27,12,22,38,19,63,24,47,31,36,28,11,20,44,45,28,19,34,44,31,23,44,44,20,35,44,50,59,33,3,23,27,4,44,18,18,47,30,11,5,40,30,58,47,37,30,36,52,36,8,5,37,33,39,24,26,11,21,41,52,56,40,11,35,28,50,14,55,68,21,52,55,47,45,19,28,53,13,54,21,48,31,28,35,37,50,41,30,17,34,9,15,18,39,32,17,42,35,21,58,35,11,26,3,40,51,47,34,56,18,6,34,57,54,21,25,14,34,16,17,19,27,42,62,45,32,38,6,49,33,39,30,36,47,18,3,23,20
v8,32,18,12,19,44,16,29,0,8,9,35,7,18,26,38,40,27,3,15,32,22,20,8,27,15,21,22,34,31,20,58,9,49,22,49,25,18,25,18,7,31,12,18,23,17,25,8,15,21,30,8,32,42,54,31,35,27,23,38,35,38,32,45,29,29,18,8,51,9,23,23,27,32,14,50,24,37,17,30,48,12,25,29,13,28,12,27,23,31,26,39,10,25,28,18,28,12,55,26,28,29,50,19,22,45,16,8,23,12,23,40,17,34,38,13,14,19,46,37,30,30,29,8,40,3,30,13,36,18,5,27,35,33,29,28,27,40,16,23,49,35,38,26,32,15,33,16,5,9,35,20,52,18,27,25,18,11,28,6,13
v9,24,10,18,11,42,24,27,8,0,3,27,15,12,18,30,32,19,11,13,30,24,20,8,25,7,19,20,36,29,28,50,17,41,20,47,17,18,23,16,7,23,12,16,17,25,23,16,17,23,32,14,30,40,46,29,27,19,21,30,33,30,30,37,27,31,20,14,43,17,25,15,25,24,10,42,22,29,9,28,40,14,33,37,13,26,16,25,31,29,28,41,8,33,36,20,20,8,47,34,20,27,48,21,14,37,8,10,31,14,21,38,15,26,30,11,20,11,44,29,28,22,31,16,38,7,24,21,28,20,7,29,27,31,27,30,35,32,14,15,41,33,30,18,24,23,35,18,13,11,33,22,44,20,25,17,20,9,26,4,11
v10,23,9,19,14,45,25,30,9,3,0,26,16,15,19,29,31,18,12,16,33,21,17,9,28,8,22,23,33,32,29,49,18,40,23,50,16,15,26,19,4,22,13,19,14,26,26,17,14,20,29,15,33,43,45,32,26,18,24,29,36,29,33,36,30,28,17,15,42,18,22,14,28,25,7,41,25,28,8,31,39,11,34,38,10,29,17,28,32,32,25,38,11,34,37,17,19,11,46,35,19,24,51,18,13,36,7,7,32,11,24,41,18,25,29,14,21,10,47,28,31,21,28,17,41,8,27,22,27,17,8,26,26,34,30,27,36,31,17,16,40,36,29,17,23,24,32,17,14,8,36,19,43,21,28,16,17,12,29,7,14
